year,contest_type,office,district,source_file,source_file_stem,source_file_hash,source_relative_path,source_rows,reported_expenditure_rows,reported_expenditure_amount,reported_contribution_rows,reported_contribution_amount,filer,filer_id,source_candidate_name,source_candidate_name_norm
2024,city_council,Portland City Council,1,Avalos.xls,Avalos,eb82afaf9d243026f0de4a1f1cdba794a2c67a809bd832b6ba813dc0443c53df,city_concil_d1/Avalos.xls,938,470,177221.93000000002,437,189399.49,Friends of Candace Avalos,20028,Avalos,avalos
2024,city_council,Portland City Council,1,Durphy.xls,Durphy,b185e7f2e1ed2b561d0a748c371540980e3f749de584edd842f8ae5e8bf95d04,city_concil_d1/Durphy.xls,707,391,111237.31999999999,304,115721.55,Friends of Jamie Dunphy,23135,Durphy,durphy
2024,city_council,Portland City Council,1,Ender.xls,Ender,0c21619b54f05707c3eda6b966727dcc4fe6d9bb84add7ac81004c5420eb90fc,city_concil_d1/Ender.xls,427,160,157642.42,260,146319.67,Ender for East Portland,23096,Ender,ender
2024,city_council,Portland City Council,1,Ernst.xls,Ernst,018fe6ae8d43e87177b630d125ad38c36c8f41a6b390243eb493ec38f8947fe2,city_concil_d1/Ernst.xls,297,136,60028.06,151,53759.04,Friends of Noah Ernst,23430,Ernst,ernst
2024,city_council,Portland City Council,1,Furi.xls,Furi,90a897877b66184e4a175783a532d5e47c30ace69bd1ac9298f86d426a57ab0c,city_concil_d1/Furi.xls,31,8,750.0,18,1373.91,Joe Furi for Portland,23273,Furi,furi
2024,city_council,Portland City Council,1,Hayes.xls,Hayes,f042f48ce4b69c0dd2a2bec0d0f06768e19dbd46140d08104cdde6c8d3cd3da6,city_concil_d1/Hayes.xls,515,197,92626.13,291,79691.71,Friends of Terrence Hayes,23237,Hayes,hayes
2024,city_council,Portland City Council,1,Linn.xls,Linn,9d2bb0f85e8f90d29fd316ecfe203e8e275b4f773e054a79495c78b5ad88b1ad,city_concil_d1/Linn.xls,172,66,5176.49,101,5206.99,Linn For East Portland,23109,Linn,linn
2024,city_council,Portland City Council,1,McKay.xls,McKay,ffa9fba155ff3cfcb7cd0fbff2d7eac25bb6853b8b2e1c6adb8aba7f263a5342,city_concil_d1/McKay.xls,3,0,,2,140.0,Kevin McKay PDX Council,19998,McKay,mckay
2024,city_council,Portland City Council,1,McKenzie.xls,McKenzie,20b03e1ca02da814306f5053dff2b21a5529531202a182b5cea9fb6333fffbc9,city_concil_d1/McKenzie.xls,99,39,5426.76,55,3417.84,Friends of Sonja McKenzie,23180,McKenzie,mckenzie
2024,city_council,Portland City Council,1,Routh.xls,Routh,22fb10da2086f7054a4db6c722ff3b35a52967ac640f40ed7db2e1a014fa2feb,city_concil_d1/Routh.xls,1131,572,201809.36999999997,521,201631.83999999997,Friends of Steph Routh,23073,Routh,routh
2024,city_council,Portland City Council,1,Salazar.xls,Salazar,06f6bfcebb86a058d5c7d557cbdd61dc015c4b5f88ff13d4acbfe5406bba24e3,city_concil_d1/Salazar.xls,165,76,5326.85,76,10532.6,Salazar for the People,22652,Salazar,salazar
2024,city_council,Portland City Council,1,Shervey.xls,Shervey,f4e200656e09843b613b06e83bc53b63e9962353b1d1d6ab87ee0f2a8650fdb5,city_concil_d1/Shervey.xls,45,25,2223.98,14,1130.02,Thomas Shervey for East of 82nd,23222,Shervey,shervey
2024,city_council,Portland City Council,1,Smith.xls,Smith,80ffb4ffa15ef698749a1d41c7b22d82bff987f0ea8ef94ee4c89008b15c1165,city_concil_d1/Smith.xls,3628,1510,1464141.21,2014,1454339.17,Committee to Elect Loretta Smith,14377,Smith,smith
2024,city_council,Portland City Council,1,Tern.xls,Tern,0d5466f2bd68228ff1cd8f054cc1c42dcb57a3686d3ca034daa530306be314ef,city_concil_d1/Tern.xls,226,72,13202.71,152,16139.560000000001,Friends of Cayle,21293,Tern,tern
2024,city_council,Portland City Council,2,Armstrong.xls,Armstrong,e9272d63f999aa8cbc72a08e85ed9f89bec19c213239368a5b27ab33e85bb3b6,city_concil_d2/Armstrong.xls,387,165,63784.29000000001,210,64728.0,Friends of James Armstrong,23185,Armstrong,armstrong
2024,city_council,Portland City Council,2,Berlin.xls,Berlin,cc6e395a44d4a74d0614271b1edae2b4f111641383acf1f2669ff46f2d44a5ee,city_concil_d2/Berlin.xls,96,40,9124.48,55,6549.98,Reuben Berlin for Portland,23269,Berlin,berlin
2024,city_council,Portland City Council,2,Burnell.xls,Burnell,5ef42f38ae70c92a5698154f3451536d584401dbd7b9c02a7d4e1c3daafbd883,city_concil_d2/Burnell.xls,60,31,5049.82,27,2053.0,Friends of David Burnell,23117,Burnell,burnell
2024,city_council,Portland City Council,2,DePass.xls,DePass,0012177307480038f2c7bc1f050a91a3d3bc779329a32e0cbe0a58dd4ce9f10d,city_concil_d2/DePass.xls,523,233,121536.89000000001,266,122393.14,Friends of Michelle DePass,19811,DePass,depass
2024,city_council,Portland City Council,2,Emerson.xls,Emerson,17c8e11b35891440c43f133da08a2c50cc9fb0ece5d7ee1a0f5f8876c2aae51a,city_concil_d2/Emerson.xls,79,23,1584.9099999999999,35,3720.0,Joseph Emerson for Portland City Council,23184,Emerson,emerson
2024,city_council,Portland City Council,2,Glickman.xls,Glickman,02dbf8b0f0a39d061c763132e0c2c940e8b1d52d9618209142fd3fe165b6a00a,city_concil_d2/Glickman.xls,333,128,133462.97,200,116914.39,Friends of Marnie Glickman,23441,Glickman,glickman
2024,city_council,Portland City Council,2,Hudson.xls,Hudson,d0dccdde5fec02152f406a8717d9c05f17c3255a1acdcc4119cfe055f1c046e4,city_concil_d2/Hudson.xls,597,197,154825.11,381,155559.46,Friends of Mariah Hudson,23240,Hudson,hudson
2024,city_council,Portland City Council,2,Kanal.xls,Kanal,2e7d84c6fe88ace6a3fee98c0710d9f50a79ef79394f1c457bfea1e9e9d0e0a4,city_concil_d2/Kanal.xls,305,166,102966.45,134,105709.09999999999,Friends of Sameer Kanal,23710,Kanal,kanal
2024,city_council,Portland City Council,2,Kitchin.xls,Kitchin,3a9462066972766102d2edb8a530af74f3388226ae650ea6f52889e16c578a86,city_concil_d2/Kitchin.xls,323,150,70605.48,167,75594.92,Friends of Debbie Kitchin,23111,Kitchin,kitchin
2024,city_council,Portland City Council,2,Marshall.xls,Marshall,1d8a010279fc03eed5b1f1c18c4ae1ea78351135bd6dc18731f871a557803dbd,city_concil_d2/Marshall.xls,485,192,100931.24,273,96125.0,Mike Marshall for Portland,23513,Marshall,marshall
2024,city_council,Portland City Council,2,Mespelt.xls,Mespelt,a81ae0b20affc327275bec8135f6369d1efa30f08727d7f27d4d2036f61cd280,city_concil_d2/Mespelt.xls,196,97,16523.17,91,11867.99,Portland with Will,23465,Mespelt,mespelt
2024,city_council,Portland City Council,2,Middleton.xls,Middleton,eca990d46d8f52afadf43b5275f277f27207a4a31af2844bd8eb4273f89eef15,city_concil_d2/Middleton.xls,105,58,6643.41,44,6440.0,Middleton for District 2,23236,Middleton,middleton
2024,city_council,Portland City Council,2,Olson.xls,Olson,7d39fac793515a2f4a6ef8bf2d4c1e30513feda3daac8427eed3af0427e26813,city_concil_d2/Olson.xls,357,246,42466.85,93,35340.149999999994,Friends of Christopher Olson,23214,Olson,olson
2024,city_council,Portland City Council,2,Park.xls,Park,2ec054ccc3570afa8543dfdd6085d369354e0efdb56f2f2cebcc13fafc6297e9,city_concil_d2/Park.xls,328,186,45905.090000000004,128,45659.75,Persist with Park,23369,Park,park
2024,city_council,Portland City Council,2,Penson.xls,Penson,122c395765679c92a70fe95a4abd4e3847067a305539f02c561d5dcd35da5454,city_concil_d2/Penson.xls,708,178,143910.77,510,145456.24,Friends of Tiffani,19875,Penson,penson
2024,city_council,Portland City Council,2,Pirtle.xls,Pirtle,0999ee9d779c6ed92b93b71e94f028e4a76e274b0620f977e5e23fd63fd40f43,city_concil_d2/Pirtle.xls,460,121,85457.75,330,90741.37,Team EPG,23408,Pirtle,pirtle
2024,city_council,Portland City Council,2,Sachs.xls,Sachs,8324ca11270a69408de98ec6036e23454487340a3b43d1d3db2e29aeda00fed0,city_concil_d2/Sachs.xls,91,35,5480.68,52,6059.01,Sam Sachs for City Council,23303,Sachs,sachs
2024,city_council,Portland City Council,2,Sherman.xls,Sherman,3dd6799270dd8af307962053a70d592e6303f42aaf33a620843c0275a3c6557e,city_concil_d2/Sherman.xls,112,54,4240.16,56,4874.41,Friends of Brooklyn,21451,Sherman,sherman
2024,city_council,Portland City Council,2,Simril.xls,Simril,62ada1369e4cd255c4f5c310228d02be078e07bebfa749e8050a8daf9b4c6ed2,city_concil_d2/Simril.xls,348,179,80881.96,165,66539.01000000001,Elect Bob Simril for Change,23690,Simril,simril
2024,city_council,Portland City Council,2,Streib.xls,Streib,c6437b1ed12393091dd448e99cf0d89f789165439642880dd39f79a42e1833a0,city_concil_d2/Streib.xls,252,55,30462.27,145,37961.15,Run Laura Run,23265,Streib,streib
2024,city_council,Portland City Council,2,Tasini.xls,Tasini,ad7a013426b102ff1e0d20d3e8986ead1a5eea60811d02addad0624b62f927e0,city_concil_d2/Tasini.xls,385,169,106663.60999999999,203,93677.23999999999,Jonathan Tasini for City Council,23246,Tasini,tasini
2024,city_council,Portland City Council,2,West.xls,West,a77b2f9a7807f060cfc008efb9d85e2c6e1ef038616bd7ed8be0572e621e8f3d,city_concil_d2/West.xls,425,169,131140.06,151,129408.59,Rev Nat For Portland,23448,West,west
2024,city_council,Portland City Council,2,Zaghloul.xls,Zaghloul,f2ec4e36b0cd01bc53742d7a7452e214f2156eba91549e90681a3d0ac4aae7a7,city_concil_d2/Zaghloul.xls,362,173,109719.75,177,112611.0,Elect Nabil,23611,Zaghloul,zaghloul
2024,city_council,Portland City Council,3,Conley.xls,Conley,8ceb74205390f79a2b3317f6c6715cd688d4db47a14f1b623f9dcb5541c8adbc,city_concil_d3/Conley.xls,29,17,2219.4300000000003,11,1584.99,Conley for PDX,23837,Conley,conley
2024,city_council,Portland City Council,3,Cornett.xls,Cornett,daa2ca8ee49aac83f5f96ab5cda9ff0783a0db36367c33bb67249a924f61ced3,city_concil_d3/Cornett.xls,734,349,140392.03999999998,350,132057.26,Jesse Cornett for Portland City Council,23055,Cornett,cornett
2024,city_council,Portland City Council,3,DeMelo.xls,DeMelo,8178eed7068aeba1897bba2f35b73430aacdc626dfdb8431ed9f398c4b7c26ed,city_concil_d3/DeMelo.xls,324,167,67796.96,146,66719.2,Friends of DeMelo,23100,DeMelo,demelo
2024,city_council,Portland City Council,3,Flanary.xls,Flanary,0352035f9e30e1a69845d3d04f6cc3e2e2f7bd7cf807925a85071aed278f6134,city_concil_d3/Flanary.xls,365,127,56362.950000000004,232,57110.94,Chris for Portland,23040,Flanary,flanary
2024,city_council,Portland City Council,3,Hathaway.xls,Hathaway,a9c9a0245d7f29f1e2947daaf1f669cd6a66a58ac4d4aa05044c941fed2b416b,city_concil_d3/Hathaway.xls,205,93,12588.82,104,7302.0,Friends of Theo Hathaway Saner,23450,Hathaway,hathaway
2024,city_council,Portland City Council,3,Hilton.xls,Hilton,9a904ce0710af906b99e52483d2e853679e939ff3af428ce4aad36184f0a5494,city_concil_d3/Hilton.xls,22,13,672.1899999999999,8,1791.1999999999998,Friends of Patrick Hilton,23888,Hilton,hilton
2024,city_council,Portland City Council,3,Janes.xls,Janes,27f1c6f27dcc1339fc5ef6eab88ef77ba9764a80fe24e883ddce960704d0e048,city_concil_d3/Janes.xls,134,61,9301.96,62,14386.77,KJ4PDX,23504,Janes,janes
2024,city_council,Portland City Council,3,Kass.xls,Kass,ff8cd25200c4df63aa85890b717ebd51107c27e7f4b0f960ac5e56c8e74f7457,city_concil_d3/Kass.xls,161,81,60367.86,71,55494.89,Harrison Kass for Portland,23810,Kass,kass
2024,city_council,Portland City Council,3,Knab.xls,Knab,055cbba4028fd90a2ed5c307cf901b3e175a0dd5a14afd465253d56c217900bd,city_concil_d3/Knab.xls,91,37,5919.57,53,7748.0,Philippe for Portland,23422,Knab,knab
2024,city_council,Portland City Council,3,Koyama.xls,Koyama,baadb236f4658863ca56f26d4bc2acd5d3e2526249cc6e81ebf64927fbd727a1,city_concil_d3/Koyama.xls,1986,893,308922.62,1063,450517.31999999995,Teacher Tiffany for the People,23208,Koyama,koyama
2024,city_council,Portland City Council,3,McGraw.xls,McGraw,fbf0f167523095836ae5c206dd806a327df0bbe0573165087b60ceee5bb7d767,city_concil_d3/McGraw.xls,1,0,,0,,PDXLawrence,23720,McGraw,mcgraw
