x,y,n,pearson,spearman
total_amount,mentions,65,0.7790646758026676,0.8002622377622377
total_amount,first_place_votes,65,0.7517739645478204,0.7642045454545454
total_amount,viable_int,65,0.7045630283104651,0.7241740181293527
total_spending,mentions,65,0.44776416626273075,0.8002622377622377
total_spending,first_place_votes,65,0.5065306122691319,0.8029720279720279
total_spending,viable_int,65,0.43766678659106645,0.7733065101108885
