year,count,mean,std,min,10%,25%,50%,75%,90%,max
2024,13489.0,582.2438423900958,2412.4396905248273,0.04,2.5240000000000054,14.99,59.28,300.0,1100.0,75039.0
2026,3791.0,659.8376101292534,3166.0266135720544,0.04,1.58,6.925,41.13,232.5,1155.0,75039.0
