year,candidate_source_rows,total_fundraising,mean_candidate_fundraising,median_candidate_fundraising,min_candidate_fundraising,max_candidate_fundraising,total_spending,mean_candidate_spending,median_candidate_spending,min_candidate_spending,max_candidate_spending,median_spending_to_fundraising_ratio
2024,74,8390987.05,108973.8577922078,57110.939999999995,140.0,1454339.17,7853887.19,103340.62092105264,62076.075,325.0,1464141.21,0.9976396485305361
2026,17,3299138.75,183285.48611111112,16689.1,575.0,1098871.61,2501444.38,147143.7870588235,11191.4,330.89,1081644.06,0.6159514761327461
