year,district,source_file_stem,total_fundraising,contribution_count,mean_contribution,median_contribution,min_contribution,max_contribution,total_spending,expenditure_count,mean_expenditure,median_expenditure,min_expenditure,max_expenditure,spending_to_fundraising_ratio
2024,2,West,129408.59,151,857.0105298013244,124.0,5.0,40000.0,131140.06,169.0,775.9766863905326,116.8,0.2,11385.39,1.013379869141608
2024,2,Zaghloul,112611.0,177,636.2203389830509,100.0,3.0,40000.0,109719.75,173.0,634.2182080924855,210.0,0.18,24485.0,0.9743253323387591
2024,3,Conley,1584.99,11,144.09,75.0,25.0,459.99,2219.4300000000003,17.0,130.55470588235295,36.0,0.99,620.0,1.4002801279503343
2024,3,Cornett,132057.26,350,377.30645714285714,100.0,5.0,40000.0,140392.04,349.0,402.2694555873926,62.78,0.2,13927.54,1.0631148942511757
2024,3,DeMelo,66719.2,146,456.9808219178082,145.0,5.0,40000.0,67796.95999999999,167.0,405.9698203592814,35.0,0.23,22490.85,1.016153670907325
2024,3,Flanary,57110.939999999995,232,246.16784482758618,32.5,5.0,23625.0,56362.95,127.0,443.8027559055118,16.98,0.2,14000.0,0.9869028595922252
2024,3,Hathaway,7302.0,104,70.21153846153847,50.0,7.0,420.0,12588.82,93.0,135.3636559139785,35.0,0.7,1500.0,1.7240235551903587
2024,3,Hilton,1791.2,8,223.9,175.0,47.0,485.0,672.19,13.0,51.70692307692308,28.75,1.02,277.1,0.37527355962483255
2024,3,Janes,14386.77,62,232.04467741935485,87.5,5.0,1500.0,9301.96,61.0,152.4911475409836,55.0,0.35,1221.84,0.6465634746367669
2024,3,Kass,55494.89,71,781.6181690140845,210.0,20.0,32040.0,60367.86,81.0,745.2822222222222,300.0,4.38,10000.0,1.0878093460496994
2024,3,Knab,7748.0,53,146.18867924528303,100.0,5.0,500.0,5919.57,37.0,159.98837837837837,75.0,0.18,750.0,0.7640126484254001
2024,3,Koyama,450517.32,1063,423.81685794920037,50.0,1.0,70936.0,308922.62,893.0,345.9379843225084,21.58,0.04,29165.0,0.685706423007222
2024,3,Morillo,337642.7,579,583.1480138169258,100.0,1.0,50000.0,230589.38999999998,503.0,458.42821073558645,36.0,0.2,20000.0,0.6829390654677266
2024,3,Morse,83019.83,289,287.2658477508651,100.0,5.0,40000.0,81288.87,172.0,472.60970930232554,55.0,1.58,22863.25,0.9791500416225858
2024,3,Novick,1098871.61,2884,381.0234431345354,250.0,3.0,40000.0,1081644.06,662.0,1633.903413897281,129.52499999999998,0.35,75039.0,0.9843225087960913
2024,3,Osman,49297.06,90,547.7451111111111,62.5,5.0,12150.0,45930.68,52.0,883.2823076923077,171.175,0.35,17000.0,0.9317123576943535
2024,3,Penson,145456.24,510,285.2083137254902,160.0,5.0,40000.0,143910.77,178.0,808.4874719101123,161.695,2.1,14173.09,0.9893750175310457
2024,3,Walker,3889.5,30,129.65,101.0,3.5,370.0,4611.13,78.0,59.117051282051285,36.965,0.14,452.31,1.1855328448386682
2024,3,Wanner,20086.22,51,393.8474509803922,125.0,5.0,10000.0,14580.78,39.0,373.86615384615385,55.83,0.73,3375.75,0.7259096036984559
2024,3,Zak,35480.62,74,479.46783783783786,86.45,5.0,16317.0,40457.04,127.0,318.5593700787402,97.0,0.2,5000.0,1.1402574137655992
2024,4,Arnold,188717.97,637,296.26054945054943,100.0,5.0,50000.0,108592.89,196.0,554.0453571428571,105.38499999999999,0.69,20223.57,0.5754242163584103
2024,4,Callahan,16787.59,95,176.71147368421052,100.0,1.0,1550.0,22430.829999999998,98.0,228.88602040816323,26.0,0.33,2700.0,1.3361554576922594
2024,4,Clark,340410.45,853,399.0743845252052,150.0,1.0,50000.0,194106.54,147.0,1320.4526530612245,131.75,0.7,32122.46,0.5702132234777164
2024,4,DiNapoli,7220.0,94,76.80851063829788,35.0,5.0,500.0,7389.0,45.0,164.2,15.05,0.7,1541.8,1.0234072022160665
2024,4,Freeman,66006.58,216,305.58601851851853,75.0,5.0,32886.0,66943.08,201.0,333.0501492537314,149.95,0.4,5000.0,1.0141879794408375
2024,4,Green,294067.26,730,402.83186301369864,50.0,1.92,50000.0,197062.06,586.0,336.28337883959045,14.31,0.08,16830.0,0.6701258072727987
2024,4,Henry,52763.72,77,685.243116883117,50.0,5.0,19476.0,28935.93,80.0,361.699125,38.504999999999995,0.55,7911.0,0.5484057985297474
2024,4,Hufford,88777.5,245,362.35714285714283,150.0,5.0,40000.0,89305.67,75.0,1190.7422666666666,75.0,0.7,31564.42,1.0059493678015263
2024,4,Kaluba,325.0,4,81.25,27.5,20.0,250.0,325.0,3.0,108.33333333333333,10.68,0.7,313.62,1.0
2024,4,Lykins,127402.66,369,345.2646612466125,85.0,5.0,40000.0,127926.92,160.0,799.54325,117.5,0.88,26750.0,1.0041149847263786
2024,4,Mason,7875.0,41,192.0731707317073,100.0,15.0,579.0,8723.41,33.0,264.34575757575755,150.0,2.63,1995.0,1.1077346031746031
2024,4,Morse,83019.83,289,287.2658477508651,100.0,5.0,40000.0,81288.87,172.0,472.60970930232554,55.0,1.58,22863.25,0.9791500416225858
2024,4,Penkin,101932.0,343,297.17784256559764,130.0,5.0,40000.0,105363.28,131.0,804.2998473282443,100.0,0.35,18573.0,1.0336624416277518
2024,4,Ross,106085.59,318,333.60248427672957,65.5,4.0,40000.0,110289.04,264.0,417.76151515151514,42.0,0.16,12250.0,1.039623194818448
2024,4,Silkie,105896.83,256,413.6594921875,60.0,5.0,40000.0,102010.01,172.0,593.0814534883721,105.435,0.2,22000.0,0.9632961628785299
2024,4,Smith,54279.0,193,281.2383419689119,45.0,5.0,40230.0,22616.06,234.0,96.64982905982906,2.97,0.2,2800.0,0.4166631662337184
2024,4,Thompson,15966.5,60,266.10833333333335,100.0,2.44,2500.0,11191.4,51.0,219.4392156862745,47.78,0.35,2500.0,0.7009300723389597
2024,4,Toran,9407.0,85,110.67058823529412,50.0,5.0,700.0,16332.26,93.0,175.6156989247312,64.04,0.69,2000.0,1.7361815669182523
2024,4,Underdahl,3134.0,29,108.06896551724138,20.0,5.0,500.0,1886.77,23.0,82.03347826086956,40.57,0.18,390.0,0.6020325462667517
2024,4,Weinstein,73688.59999999999,260,283.4176923076923,100.0,5.0,40000.0,80985.14,99.0,818.0317171717172,300.0,0.88,19180.0,1.0990185727507378
2024,4,Zimmerman,262826.33,702,374.3964814814815,150.0,3.0,40000.0,291095.65,188.0,1548.3811170212766,156.64,0.35,50000.0,1.1075589344492236
2024,4,trimble,1155.0,21,55.0,25.0,5.0,560.0,1349.86,22.0,61.35727272727272,4.115,0.7,700.0,1.1687099567099566
2026,3,Brown,2365.0,14,168.92857142857142,187.5,25.0,305.0,,,,,,,
2026,3,Corcoran,4095.0,30,136.5,100.0,5.0,500.0,2879.67,33.0,87.26272727272728,29.48,0.2,780.0,0.7032161172161172
2026,3,Johnson,575.0,12,47.916666666666664,25.0,5.0,100.0,389.46,13.0,29.95846153846154,13.19,0.17,115.0,0.6773217391304347
2026,3,Koyama,456686.26,1098,415.92555555555555,50.0,1.0,70936.0,311196.92,912.0,341.22469298245613,21.53,0.04,29165.0,0.6814238729231749
2026,3,Leon,6716.0,63,106.60317460317461,55.0,5.0,875.0,1986.6399999999999,33.0,60.201212121212116,18.61,0.2,505.5,0.29580702799285286
2026,3,Morillo,385654.34,616,626.0622402597403,100.0,1.0,50000.0,237544.36,522.0,455.0658237547892,30.0,0.2,20000.0,0.6159514761327461
2026,3,Mullen,11670.0,97,120.30927835051547,50.0,5.0,1225.0,1075.23,8.0,134.40375,4.915,3.5,1000.0,0.09213624678663239
2026,3,Novick,1098871.61,2884,381.0234431345354,250.0,3.0,40000.0,1081644.06,662.0,1633.903413897281,129.52499999999998,0.35,75039.0,0.9843225087960913
2026,3,Sollitt,8620.0,35,246.28571428571428,100.0,5.0,2083.0,2660.56,40.0,66.514,25.0,0.2,540.0,0.30864965197215777
2026,3,Zimmerman,8355.0,60,139.25,32.5,10.0,875.0,7901.03,35.0,225.74371428571428,29.0,0.87,1500.0,0.9456648713345301
2026,4,Arnold,245345.97,682,359.7448240469208,100.0,5.0,50000.0,118453.0,205.0,577.819512195122,110.0,0.69,20223.57,0.48279986013220433
2026,4,Clark,340410.45,853,399.0743845252052,150.0,1.0,50000.0,194106.54,147.0,1320.4526530612245,131.75,0.7,32122.46,0.5702132234777164
2026,4,Evenstar,17411.7,105,165.8257142857143,101.0,5.0,750.0,3474.7000000000003,71.0,48.939436619718315,4.98,0.2,1461.7,0.19956121458559475
2026,4,Goldsmith,600.0,1,600.0,600.0,600.0,600.0,330.89,3.0,110.29666666666667,55.0,0.89,275.0,0.5514833333333333
2026,4,Green,307117.58999999997,794,386.7979722921914,56.0,1.92,50000.0,204973.07,613.0,334.37694942903755,14.49,0.08,16830.0,0.6674090858814047
2026,4,Smith,55485.0,209,265.47846889952154,50.0,5.0,40230.0,28203.51,251.0,112.36458167330677,2.58,0.2,5000.0,0.5083087320897539
2026,4,Thompson,15966.5,60,266.10833333333335,100.0,2.44,2500.0,11191.4,51.0,219.4392156862745,47.78,0.35,2500.0,0.7009300723389597
2026,4,Zimmerman,333193.33,728,457.68314560439563,150.0,3.0,67980.0,293433.34,192.0,1528.2986458333335,156.64,0.35,50000.0,0.8806699101689701
