year,count,mean,std,min,10%,25%,50%,75%,90%,max
2024,20813.0,403.16086340268095,2519.4219085588124,1.0,20.0,45.0,115.0,250.0,500.0,70936.0
2026,8341.0,395.53275986092797,2685.505108045322,1.0,25.0,50.0,145.0,258.34,500.0,70936.0
