district,is_viable,candidates,mean_total_amount,median_total_amount,mean_contribution_count
1,False,6,2821.8233333333333,1442.5,90.33333333333333
1,True,7,46390.15285714286,43744.96,1097.142857142857
2,False,11,19430.50909090909,15950.86,397.3636363636364
2,True,9,58303.62333333333,49453.07,1009.2222222222222
3,False,10,7801.0,6309.995,223.5
3,True,5,66542.838,64641.17,1599.2
4,False,9,21653.293333333335,7289.0,425.55555555555554
4,True,8,47624.131250000006,44443.105,900.875
