year,district,source_file,source_file_stem,source_file_hash,same_hash_file_count,is_exact_duplicate_export
2024,3,Hilton.xls,Hilton,9a904ce0710af906b99e52483d2e853679e939ff3af428ce4aad36184f0a5494,1,False
2024,3,Janes.xls,Janes,27f1c6f27dcc1339fc5ef6eab88ef77ba9764a80fe24e883ddce960704d0e048,1,False
2024,3,Kass.xls,Kass,ff8cd25200c4df63aa85890b717ebd51107c27e7f4b0f960ac5e56c8e74f7457,1,False
2024,3,Knab.xls,Knab,055cbba4028fd90a2ed5c307cf901b3e175a0dd5a14afd465253d56c217900bd,1,False
2024,3,Koyama.xls,Koyama,baadb236f4658863ca56f26d4bc2acd5d3e2526249cc6e81ebf64927fbd727a1,1,False
2024,3,McGraw.xls,McGraw,fbf0f167523095836ae5c206dd806a327df0bbe0573165087b60ceee5bb7d767,1,False
2024,3,Morillo.xls,Morillo,2e22ef99dcb8f94ea05358368503351ff7d379061f9186b137d7616382c61d08,1,False
2024,3,Morse.xls,Morse,f4d27e719c151b49391886c0b2e1ce9f17e5a8e9b3888e799281b6c5c892af4d,2,True
2024,3,Novick.xls,Novick,636f844175b9e1ecc6ba60fe146a53baef328f7df245e6f3929c51b993d1be62,1,False
2024,3,Osman.xls,Osman,e807135fea84c7ab00a1cf6523af95070d4de26ab3ef77e4359e3b0a117da954,1,False
2024,3,Penson.xls,Penson,122c395765679c92a70fe95a4abd4e3847067a305539f02c561d5dcd35da5454,2,True
2024,3,Walker.xls,Walker,d8c5c6d22860b78e900d0612a08e0249dc947214d453e38d426fe2beb4cd158f,1,False
2024,3,Wanner.xls,Wanner,4fce7ca960414422808abfab625ba915c3be6b495bbc723e180509caf704c0cc,1,False
2024,3,Zak.xls,Zak,84d4476bb44ec4dc416efe3c159e1707baaabf7646f604df8ced8371e6908778,1,False
2024,4,Arnold.xls,Arnold,a8676f4b7c57855ee5eca1928ec1cea1c00e0fc7aec76cab0d8c3be5c59aeac4,1,False
2024,4,Callahan.xls,Callahan,e7272b6b633f0b8fe4e3358cf84b312a6bbb8d320a459a3b862e756c7a89a5f9,1,False
2024,4,Clark.xls,Clark,b547708a9fd76718d0cbff7b5961ce6f97cda336119c55098a866325cc9fcb30,1,False
2024,4,DiNapoli.xls,DiNapoli,157abbc2b4b15b904036065224a3372d3a17ff0d86e37a91eee3ec2710ef14b8,1,False
2024,4,Freeman.xls,Freeman,10a22431a93fae3c4415e3b7755ccf47a70dc8d78ebbe79a019d7b06c7582846,1,False
2024,4,Green.xls,Green,3dc6d31df620e5f38623189225359a6290560a1fecff78e3d34d1fdbb87f89be,1,False
2024,4,Henry.xls,Henry,eece7e67d5e0551bea8a487daa3c99abd3624dccde3ad3f6b0a4ef7a7101de4d,1,False
2024,4,Hufford.xls,Hufford,68ede1a504dc396c8bcd0527772e7551955f66a67dde31aa7214aae47f8bfef7,1,False
2024,4,Kaluba.xls,Kaluba,b8e97a7a47a091ea3be55ca612035625b9d59dc00de43cd0add723d028103e41,1,False
2024,4,Lykins.xls,Lykins,4b60536e17ab85868e01a3260f30894965bfc16ff89e0bea9e40718aca328042,1,False
2024,4,Mason.xls,Mason,f32e41e6a27eb98381414d6bb36d84a8507eba615737fbb572179d857776e3ad,1,False
2024,4,Morse.xls,Morse,f4d27e719c151b49391886c0b2e1ce9f17e5a8e9b3888e799281b6c5c892af4d,2,True
2024,4,Penkin.xls,Penkin,9ad6afcc408a39533809fbf117b613ca2d012b48abdc2afc49b649d319e28006,1,False
2024,4,Ross.xls,Ross,cd9eae8d417e08ed9c38474a6557e9aff735565dc6677da6c5e3c604d7041f0e,1,False
2024,4,Silkie.xls,Silkie,c488bb11f75eaf6e20d60141ace218dc6721498751ed715ff2f443c068ffa280,1,False
2024,4,Smith.xls,Smith,362631abcda30af86b4cda72003d910adb2c6e59dbc96309cd7b1952a5c28817,1,False
2024,4,Thompson.xls,Thompson,db842d5b6a2eed1b3d0205e1087b3f0b699127aa1606c1f619a11e94482eb01b,1,False
2024,4,Toran.xls,Toran,9404e6b66d455bb0b8a6b87ceca3c07411eec71df1a86470ffb196d9f158aa61,1,False
2024,4,Underdahl.xls,Underdahl,7c59a3bcd568d1b56851c5bf72ce3105e22964538ac08aeda5f3c238ff8c26cb,1,False
2024,4,Weinstein.xls,Weinstein,0d9f03b551174a98a58c3f0806b2e0e372b3bdc70a507d93425195e8c9346869,1,False
2024,4,Zimmerman.xls,Zimmerman,d0b341c84a57284c373a5fe8512347120a8d62cd9700c6b98a9fc4aaf6c7c0aa,1,False
2024,4,trimble.xls,trimble,d34374f48a7e30e9b3cbfb23bd2526f06caa1cb30afef455fb2265d63c937e85,1,False
