money,outcome,candidates,slope,p_value,r_squared
log_total_amount,mentions,65,5853.9009758885095,1.3515426008924645e-10,0.48284404097708356
log_total_amount,first_place_votes,65,1794.3458690979394,4.249387202774415e-07,0.3357638295973213
log_total_spending,mentions,58,5854.653806476626,2.182942334337484e-09,0.4752141132731398
log_total_spending,first_place_votes,58,1922.8862985398032,4.1310396225209007e-07,0.3697645327383351
