outcome,family,measure,source,year_filter,district_filter,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
first_place_votes,scale,record count,OpenElections contributions,2024,all,total_record_count,65,0.6788316694737235,5.141457775749966e-10,0.7139813156042446,2.444918948672336e-11,0.6788316694737235,0.7139813156042446,3.998911603361085e-09,1.4882115339744655e-10
mentions,cash_in_kind,dollar amount,OpenElections contributions,2024,all,cash_amount,65,0.7669809217031174,9.372087293951319e-14,0.795979020979021,2.296715304147864e-15,0.7669809217031174,0.795979020979021,1.4316507989837817e-12,3.2154014258070093e-14
mentions,cash_in_kind,dollar share,OpenElections contributions,2024,all,in_kind_amount_share,65,0.1023380419195023,0.4172511104361292,0.4974918976560041,2.4850778597213833e-05,0.1023380419195023,0.4974918976560041,0.5783678758520603,6.958218007219873e-05
mentions,cash_in_kind,record count,OpenElections contributions,2024,all,cash_count,65,0.7247225133036665,8.789379273836038e-12,0.75558080840184,3.490556939157729e-13,0.7247225133036665,0.75558080840184,9.976770121868154e-11,2.9872684287120315e-12
mentions,cash_in_kind,record share,OpenElections contributions,2024,all,in_kind_count_share,65,-0.11748149974905023,0.35132571230401444,0.4915878109328492,3.204346135855675e-05,0.11748149974905023,0.4915878109328492,0.5018938747200207,8.796244294505774e-05
mentions,cash_in_kind_bins,dollar amount,OpenElections contributions,2024,all,cash_bin_amount_small,65,0.8021896044421852,9.598500110745932e-16,0.8201883784383847,6.365944526116099e-17,0.8021896044421852,0.8201883784383847,2.711612180877166e-14,2.5013862397086824e-15
mentions,cash_in_kind_bins,dollar share,OpenElections contributions,2024,all,in_kind_bin_amount_share_large,28,-0.44659472864312466,0.01720164013328643,-0.5142236642664115,0.00511993831886622,0.44659472864312466,0.5142236642664115,0.047220188601178444,0.01235847180415984
mentions,cash_in_kind_bins,record count,OpenElections contributions,2024,all,cash_bin_count_small,65,0.8012756973238782,1.0934411602017783e-15,0.8180437364037264,8.933522284673866e-17,0.8012756973238782,0.8180437364037264,2.711612180877166e-14,2.5013862397086824e-15
mentions,cash_in_kind_bins,record share,OpenElections contributions,2024,all,in_kind_bin_count_share_large,28,-0.44479435571190395,0.01771042069137982,-0.5312817551353498,0.003623980107315172,0.44479435571190395,0.5312817551353498,0.0476819018614072,0.008901003772353054
mentions,geography,record count,OpenElections contributions,2024,all,oregon_count,65,0.7231799326467953,1.0210291907932135e-11,0.7479840033255334,8.062211812446875e-13,0.7231799326467953,0.7479840033255334,1.0210291907932135e-10,4.70295689059401e-12
mentions,geography,record share,OpenElections contributions,2024,all,portland_share,62,0.09980624020762532,0.4402259007721551,-0.027701877486686646,0.8307601754649869,0.09980624020762532,0.027701877486686646,0.5983653020204049,0.8674531445344904
mentions,geography_bins,record count,OpenElections contributions,2024,all,oregon_bin_count_small,65,0.795975574226853,2.2978084217755335e-15,0.8029417267362144,8.618037166231166e-16,0.795975574226853,0.8029417267362144,4.5956168435510665e-14,1.723607433246233e-14
mentions,geography_bins,record share,OpenElections contributions,2024,all,oregon_bin_count_share_mega,65,0.2625533145481391,0.03460740754045888,0.288747083015349,0.019663398427973343,0.2625533145481391,0.288747083015349,0.0865185188511472,0.042289840785243615
mentions,individual_business,dollar amount,OpenElections contributions,2024,all,individual_amount,65,0.7662442515807153,1.0226077135598439e-13,0.8014423076923076,1.0678253877570603e-15,0.7662442515807153,0.8014423076923076,1.4316507989837817e-12,1.8686944285748554e-14
mentions,individual_business,dollar share,OpenElections contributions,2024,all,business_amount_share,65,-0.2840545394391607,0.021839821613783263,-0.021682492055291356,0.8638793207404191,0.2840545394391607,0.021682492055291356,0.05769009482886145,0.8892875360563137
mentions,individual_business,record count,OpenElections contributions,2024,all,individual_count,65,0.7241821502774325,9.264143684591858e-12,0.7542423816021832,4.0541500103948996e-13,0.7241821502774325,0.7542423816021832,9.976770121868154e-11,2.9872684287120315e-12
mentions,individual_business,record share,OpenElections contributions,2024,all,business_count_share,65,-0.31175057372736775,0.011471798034292146,-0.06875808820832599,0.586280389007606,0.31175057372736775,0.06875808820832599,0.03277656581226328,0.6727807742710233
mentions,individual_business_bins,dollar amount,OpenElections contributions,2024,all,individual_bin_amount_small,65,0.8024374402594223,9.264155777645774e-16,0.8189645754703703,7.728132641107533e-17,0.8024374402594223,0.8189645754703703,2.711612180877166e-14,2.5013862397086824e-15
mentions,individual_business_bins,dollar share,OpenElections contributions,2024,all,business_bin_amount_share_medium,42,0.2491957662872173,0.11150686804588218,0.2292089237278961,0.1442531067052067,0.2491957662872173,0.2292089237278961,0.22104741863913938,0.21480046284989598
mentions,individual_business_bins,record count,OpenElections contributions,2024,all,individual_bin_count_small,65,0.8012208208619673,1.1020066423941253e-15,0.8161552614454269,1.199544431115859e-16,0.8012208208619673,0.8161552614454269,2.711612180877166e-14,2.7989370059370045e-15
mentions,individual_business_bins,record share,OpenElections contributions,2024,all,business_bin_count_share_medium,42,0.25420541096050636,0.10426199632689599,0.2266956093203296,0.14882603497457078,0.25420541096050636,0.2266956093203296,0.21154607950384693,0.21480046284989598
mentions,overall_bins,dollar amount,OpenElections contributions,2024,all,bin_amount_small,65,0.8027840192743338,8.815300584842489e-16,0.8192834275339114,7.348436720098284e-17,0.8027840192743338,0.8192834275339114,2.711612180877166e-14,2.5013862397086824e-15
mentions,overall_bins,dollar share,OpenElections contributions,2024,all,bin_amount_share_mega,65,0.26411756732383246,0.03350522957783216,0.28892148300243087,0.019586209618539508,0.26411756732383246,0.28892148300243087,0.08601766059286221,0.042289840785243615
mentions,overall_bins,record count,OpenElections contributions,2024,all,bin_count_small,65,0.8008468382446516,1.162119506090214e-15,0.8187689204725238,7.970383209529778e-17,0.8008468382446516,0.8187689204725238,2.711612180877166e-14,2.5013862397086824e-15
mentions,overall_bins,record share,OpenElections contributions,2024,all,bin_count_share_mega,65,0.2566660057780698,0.03903011133214717,0.2896781933851513,0.01925427680755342,0.2566660057780698,0.2896781933851513,0.09421061356035523,0.042289840785243615
mentions,scale,dollar amount,OpenElections contributions,2024,all,total_amount,65,0.7790646758026676,2.1386397425025693e-14,0.8002622377622377,1.2624387270053054e-15,0.7790646758026676,0.8002622377622377,3.7426195493794966e-13,1.9637935753415865e-14
mentions,scale,record count,OpenElections contributions,2024,all,total_record_count,65,0.7248594595758724,8.672802125151255e-12,0.7546522439280737,3.8729111573828956e-13,0.7248594595758724,0.7546522439280737,9.976770121868154e-11,2.9872684287120315e-12
