feature,family,measure
portland_bin_count_medium,geography_bins,record count
portland_bin_count_share_medium,geography_bins,record share
portland_bin_count_large,geography_bins,record count
portland_bin_count_share_large,geography_bins,record share
portland_bin_count_mega,geography_bins,record count
portland_bin_count_share_mega,geography_bins,record share
oregon_bin_count_micro,geography_bins,record count
oregon_bin_count_share_micro,geography_bins,record share
oregon_bin_count_small,geography_bins,record count
oregon_bin_count_share_small,geography_bins,record share
oregon_bin_count_medium,geography_bins,record count
oregon_bin_count_share_medium,geography_bins,record share
oregon_bin_count_large,geography_bins,record count
oregon_bin_count_share_large,geography_bins,record share
oregon_bin_count_mega,geography_bins,record count
oregon_bin_count_share_mega,geography_bins,record share
