source,year_filter,district_filter,outcome,feature,family,measure,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
OpenElections contributions,2024,all,first_place_votes,same_district_bin_count_micro,geography_bins,record count,65,0.5964432406038367,1.5809976963064824e-07,0.5671250637588624,8.412447008279498e-07,0.5964432406038367,0.5671250637588624,7.377989249430251e-07,2.6766876844525675e-06
OpenElections contributions,2024,all,first_place_votes,portland_bin_count_micro,geography_bins,record count,65,0.58833291946427,2.5523920025266856e-07,0.6109726921908137,6.480138770517262e-08,0.58833291946427,0.6109726921908137,1.1526931624314065e-06,2.268048569681042e-07
OpenElections contributions,2024,all,first_place_votes,cash_bin_count_micro,cash_in_kind_bins,record count,65,0.5717673457540164,6.525837299619591e-07,0.621939093617377,3.2066569509222566e-08,0.5717673457540164,0.621939093617377,2.855053818583571e-06,1.2133296571057186e-07
OpenElections contributions,2024,all,first_place_votes,oregon_bin_count_micro,geography_bins,record count,65,0.5684615931698676,7.822459525150648e-07,0.6313419969733682,1.716032360936547e-08,0.5684615931698676,0.6313419969733682,3.2960516044480197e-06,6.673459181419906e-08
OpenElections contributions,2024,all,first_place_votes,bin_count_micro,overall_bins,record count,65,0.5676497835632268,8.176002474456083e-07,0.6214364547631234,3.3137094716227235e-08,0.5676497835632268,0.6214364547631234,3.2960516044480197e-06,1.2208403316504772e-07
OpenElections contributions,2024,all,first_place_votes,individual_bin_count_micro,individual_business_bins,record count,65,0.5675060786447957,8.240129011120049e-07,0.6198629766106777,3.67111356693442e-08,0.5675060786447957,0.6198629766106777,3.2960516044480197e-06,1.3178356394123557e-07
OpenElections contributions,2024,all,first_place_votes,oregon_bin_count_large,geography_bins,record count,65,0.5243393002334718,7.357230739403189e-06,0.6942550262962952,1.4248315200578005e-10,0.5243393002334718,0.6942550262962952,2.861145287545685e-05,7.979056512323683e-10
OpenElections contributions,2024,all,first_place_votes,cash_bin_count_large,cash_in_kind_bins,record count,65,0.5178698248872322,9.95906298892468e-06,0.6908556360822289,1.9035120027687574e-10,0.5178698248872322,0.6908556360822289,3.7682941039174464e-05,9.517560013843786e-10
OpenElections contributions,2024,all,first_place_votes,bin_count_large,overall_bins,record count,65,0.5160202068210051,1.0847343656614245e-05,0.6917906439459356,1.7584393575533048e-10,0.5160202068210051,0.6917906439459356,3.996389768226301e-05,9.468519617594718e-10
OpenElections contributions,2024,all,first_place_votes,individual_bin_count_large,individual_business_bins,record count,65,0.5148983736170951,1.1421496397502508e-05,0.6910121851458708,1.8784527019901932e-10,0.5148983736170951,0.6910121851458708,4.1000243478214126e-05,9.517560013843786e-10
