feature,n,pearson,spearman,abs_pearson
contribution_count,65,0.7248594595758724,0.7546522439280737,0.7248594595758724
average_contribution,65,-0.02796847062264019,0.07591783216783217,0.02796847062264019
median_contribution,65,-0.03571924775148601,0.05659842279689858,0.03571924775148601
amount_share_micro,65,-0.12813855065758106,-0.043356643356643354,0.12813855065758106
amount_share_small,65,0.16565761435667256,0.2175262237762238,0.16565761435667256
amount_share_medium,65,0.08911023259108775,0.24428415884103225,0.08911023259108775
amount_share_large,65,-0.06892044447390167,0.018367885888297623,0.06892044447390167
amount_share_mega,65,0.26411756732383246,0.28892148300243087,0.26411756732383246
contribution_share_micro,65,-0.07897930644527268,-0.13181818181818183,0.07897930644527268
contribution_share_small,65,0.16306909627477992,0.20255903147004065,0.16306909627477992
contribution_share_medium,65,0.0009329048992260654,0.2770084991918204,0.0009329048992260654
contribution_share_large,65,-0.07018148669438497,0.1165048762057735,0.07018148669438497
contribution_share_mega,65,0.25666600577807064,0.2896781933851513,0.25666600577807064
average_expenditure,65,0.5969228135849362,0.6561625874125875,0.5969228135849362
median_expenditure,65,0.2005466491179919,0.3865799735017461,0.2005466491179919
spending_amount_share_micro,65,-0.4073985445678862,-0.5568181818181819,0.4073985445678862
spending_amount_share_small,65,-0.40263657818720944,-0.5562499999999999,0.40263657818720944
spending_amount_share_medium,65,-0.46318488065821567,-0.5676573426573427,0.46318488065821567
spending_amount_share_large,65,-0.541134995601248,-0.6045017482517482,0.541134995601248
spending_amount_share_mega,65,0.5983465740546723,0.6582025951138484,0.5983465740546723
spending_count_share_micro,65,-0.330330605502571,-0.42068227025496,0.330330605502571
spending_count_share_small,65,0.11020794533412635,0.08776223776223777,0.11020794533412635
spending_count_share_medium,65,0.010524941491900438,0.044493979337096035,0.010524941491900438
spending_count_share_large,65,-0.019413320393597777,0.08588380555370155,0.019413320393597777
spending_count_share_mega,65,0.5858802974708075,0.670462480471033,0.5858802974708075
