feature,n,baseline_adj_r2,with_feature_adj_r2,adj_r2_change,feature_p_value
average_contribution,65,0.6007027495451587,0.5977138142397347,-0.0029889353054239898,0.4685479817226201
median_contribution,65,0.6007027495451587,0.5943494113532958,-0.006353338191862901,0.9086008257142304
amount_share_micro,65,0.6007027495451587,0.5977248333272995,-0.0029779162178591445,0.4678358548512664
amount_share_small,65,0.6007027495451587,0.5981740753923137,-0.0025286741528449674,0.4401832055916288
amount_share_medium,65,0.6007027495451587,0.5958811328501346,-0.004821616695024122,0.6200128878169767
amount_share_large,65,0.6007027495451587,0.6032818952911232,0.0025791457459645173,0.23965574713932913
amount_share_mega,65,0.6007027495451587,0.6251175796693711,0.024414830124212417,0.027411489439672497
contribution_share_micro,65,0.6007027495451587,0.5994376127515568,-0.001265136793601851,0.3742498848041497
contribution_share_small,65,0.6007027495451587,0.5971815836845225,-0.0035211658606362217,0.5051582886434746
contribution_share_medium,65,0.6007027495451587,0.5956217212385628,-0.005081028306595847,0.6496175853135484
contribution_share_large,65,0.6007027495451587,0.602078434321528,0.0013756847763692903,0.27405724870945375
contribution_share_mega,65,0.6007027495451587,0.6119876562413809,0.011284906696222174,0.09741656294473394
