feature,n,baseline_adj_r2,with_feature_adj_r2,adj_r2_change,feature_p_value
average_expenditure,65,0.47596468574019346,0.48476534951406014,0.00880066377386668,0.1546538886544939
median_expenditure,65,0.47596468574019346,0.47015878988056314,-0.005805895859630317,0.5798929251779185
spending_amount_share_micro,65,0.47596468574019346,0.4697271020134468,-0.006237583726746654,0.6126603199398327
spending_amount_share_small,65,0.47596468574019346,0.4900137672924565,0.014049081552263032,0.1031942438989114
spending_amount_share_medium,65,0.47596468574019346,0.4722228937780393,-0.003741791962154184,0.45976299695992023
spending_amount_share_large,65,0.47596468574019346,0.47014510138734666,-0.005819584352846796,0.5808770676407012
spending_amount_share_mega,65,0.47596468574019346,0.4685984402123671,-0.007366245527826387,0.7230877242203748
spending_count_share_micro,65,0.47596468574019346,0.46976813396166484,-0.006196551778528625,0.6093803175243953
spending_count_share_small,65,0.47596468574019346,0.4947603492215492,0.01879566348135575,0.0722740207782873
spending_count_share_medium,65,0.47596468574019346,0.4679540188179827,-0.008010666922210752,0.8213046909324047
spending_count_share_large,65,0.47596468574019346,0.47983609720609877,0.0038714114659053056,0.2301197514415875
spending_count_share_mega,65,0.47596468574019346,0.474579312599139,-0.001385373141054469,0.36468803166437963
