is_viable,candidates,median_fundraising,mean_fundraising,median_contribution_count,median_spending,mean_spending,median_expenditure_count
False,69,7280.725,13987.671666666667,275.5,16523.17,36050.620769230765,78.0
True,29,49453.07,53902.44551724138,1055.0,136927.505,233219.35115384616,192.0
