year,district,source_candidate_name,mentions,mention_share,first_place_votes,first_place_share,total_ballot_weight,stv_threshold,is_viable,canonical_candidate,candidate_key,fundraising,contribution_count,average_contribution,median_contribution,total_spending,expenditure_count,log_fundraising,log_spending,contributions_per_1k,avg_contribution_size
2024,1,Timur Ender,16858.0,0.3932261901985024,3550.0,0.0828065592125212,42871.0,10718.0,True,Timur Ender,2024|1|timur ender,61809.84,1260.0,49.05542857142857,20.0,157642.42,160.0,11.03183403259495,11.968090926074876,20.385103731056414,49.05542857142857
2024,1,Terrence Hayes,15967.0,0.372442910125726,3975.0,0.0927200205266963,42871.0,10718.0,True,Terrence Hayes,2024|1|terrence hayes,36108.05,963.0,37.4953790238837,20.0,92626.13,197.0,10.494298805423629,11.436337358285403,26.669953099101164,37.4953790238837
2024,1,Loretta Smith,17984.0,0.4194910312332346,5586.0,0.1302978703552518,42871.0,10718.0,True,Loretta Smith,2024|1|loretta smith,43744.96,517.0,84.61307543520309,25.0,1464141.21,1510.0,10.686154544664754,14.196780106763947,11.818504348843843,84.61307543520309
2024,1,Deian Salazar,5262.0,0.1227403139651512,720.0,0.0167945697557789,42871.0,10718.0,False,Deian Salazar,2024|1|deian salazar,1380.0,54.0,25.555555555555557,20.0,5326.85,76.0,7.2305631534092925,8.580703058670764,39.130434782608695,25.555555555555557
2024,1,Noah Ernst,11606.0,0.2707191341466259,4052.0,0.0945161064589116,42871.0,10718.0,True,Noah Ernst,2024|1|noah ernst,12993.18,416.0,31.23360576923077,20.0,60028.06,136.0,9.472256843891861,11.00258405728604,32.016796504012106,31.23360576923077
2024,1,Jamie Dunphy,18470.0,0.4308273658183854,5064.0,0.118121807282312,42871.0,10718.0,True,Jamie Dunphy,2024|1|jamie dunphy,35174.53,1055.0,33.34078672985782,10.0,,,10.46810594938862,,29.993293442726884,33.34078672985782
2024,1,Doug Clove,7593.0,0.1771127335494856,1698.0,0.0396071936740453,42871.0,10718.0,False,Doug Clove,2024|1|doug clove,1505.0,13.0,115.76923076923076,20.0,,,7.317212408359839,,8.637873754152825,115.76923076923077
2024,1,Joe Furi,4070.0,0.0949359707028061,355.0,0.0082806559212521,42871.0,10718.0,False,Joe Furi,2024|1|joe furi,813.95,11.0,73.99545454545455,31.86,750.0,8.0,6.703126761665642,6.621405651764134,13.514343632901284,73.99545454545455
2024,1,Cayle Tern,9061.0,0.2113549952182127,711.0,0.0165846376338317,42871.0,10718.0,False,Cayle Tern,2024|1|cayle tern,7395.0,313.0,23.62619808306709,10.0,13202.71,72.0,8.908694592507015,9.48825312969039,42.32589587559162,23.62619808306709
2024,1,Thomas Shervey,3507.0,0.08180355018544,385.0,0.0089804296610762,42871.0,10718.0,False,Thomas Shervey,2024|1|thomas shervey,1060.0,21.0,50.476190476190474,25.0,2223.98,25.0,6.966967138613983,7.707503205795897,19.81132075471698,50.476190476190474
2024,1,Steph Routh,20440.0,0.4767791747335028,3894.0,0.0908306314291712,42871.0,10718.0,True,Steph Routh,2024|1|steph routh,76006.71,1975.0,38.48441012658228,20.24,201809.37,572.0,11.238590061491452,12.215083773093742,25.984547943201328,38.48441012658228
2024,1,Candace Avalos,22267.0,0.519395395488792,8297.0,0.1935340906440251,42871.0,10718.0,True,Candace Avalos,2024|1|candace avalos,58893.8,1494.0,39.42021419009371,20.0,177221.93,470.0,10.983508080513106,12.085163710587295,25.367695750656264,39.42021419009371
2024,1,David Linn,9324.0,0.2174896783373376,1111.0,0.02591495416482,42871.0,10718.0,False,David Linn,2024|1|david linn,4776.99,130.0,36.74607692307692,20.0,5176.49,66.0,8.471775234957654,8.552075661833785,27.21378943644429,36.74607692307692
2024,2,Chris Olson,7509.0,0.0973210466969944,1233.0,0.0159804035926746,77157.0,19290.0,False,Chris Olson,2024|2|chris olson,7272.45,389.0,18.695244215938303,10.0,42466.85,246.0,8.891986010920279,10.656502598056019,53.48953928868538,18.695244215938303
2024,2,Sam Sachs,2824.0,0.0366006972795728,304.0,0.0039400184040333,77157.0,19290.0,False,Sam Sachs,2024|2|sam sachs,4349.01,70.0,62.12871428571429,50.0,5480.68,35.0,8.377933422930662,8.609166902302348,16.095617163446395,62.12871428571429
2024,2,Debbie Kitchin,9088.0,0.1177858133416281,1228.0,0.0159156006583978,77157.0,19290.0,False,Debbie Kitchin,2024|2|debbie kitchin,34884.88,460.0,75.8366956521739,25.0,70605.48,150.0,10.459837441796896,11.164877203971924,13.186228532246638,75.8366956521739
2024,2,Laura Streib,4848.0,0.0628329250748473,707.0,0.0091631349067485,77157.0,19290.0,False,Laura Streib,2024|2|laura streib,10718.42,318.0,33.70572327044025,20.95,30462.27,55.0,9.27981232868348,10.324276974593898,29.668551894775536,33.70572327044025
