sub_type,contribution_count,total_amount,min_amount,mean_amount,median_amount,max_amount,amount_share
Cash Contribution,473,215168.3,3.0,454.9012684989429,150.0,40000.0,0.9279549444277088
In-Kind Contribution,13,16705.35,12.0,1285.026923076923,173.51,9000.0,0.0720450555722912
