finance_variable,outcome,n,slope_log1p,std_error,p_value,r_squared
total_amount,mentions,65,5853.9009758885095,763.2774389184293,1.3515426008924645e-10,0.48284404097708356
total_amount,first_place_votes,65,1794.3458690979394,317.9656388142574,4.249387202774415e-07,0.3357638295973213
total_spending,mentions,58,5854.653806476626,822.1548339137944,2.182942334337484e-09,0.4752141132731398
total_spending,first_place_votes,58,1922.8862985398032,335.46590351585087,4.1310396225209007e-07,0.3697645327383351
total_amount,mention_share,65,0.07839147509363965,0.009839394949714005,4.0733645295157354e-11,0.5018767921228598
total_amount,first_place_share,65,0.02435194259043582,0.004139618077231186,1.678988132990979e-07,0.3545453834863541
total_spending,mention_share,58,0.07933438302740634,0.01034766123544742,2.7367477450025544e-10,0.5121152503400626
total_spending,first_place_share,58,0.026594258495222338,0.004258805786807896,6.064904358025198e-08,0.41049037241129605
