year,contest_type,office,district,profile_key,candidate,spending_bin,spending_amount,spending_count,profile_total_spending,profile_total_count,spending_amount_share,spending_count_share,source_file_stem,source_candidate_name,canonical_candidate,candidate_key,linkage_status
2024,city_council,Portland City Council,4,2024|4|orestar|kaluba,Kaluba,Micro,11.379999999999999,2,325.0,3,0.035015384615384615,0.6666666666666666,Kaluba,Kaluba,,,unmatched_source_candidate
2024,city_council,Portland City Council,4,2024|4|orestar|kaluba,Kaluba,Small,0.0,0,325.0,3,0.0,0.0,Kaluba,Kaluba,,,unmatched_source_candidate
2024,city_council,Portland City Council,4,2024|4|orestar|kaluba,Kaluba,Medium,0.0,0,325.0,3,0.0,0.0,Kaluba,Kaluba,,,unmatched_source_candidate
2024,city_council,Portland City Council,4,2024|4|orestar|kaluba,Kaluba,Large,313.62,1,325.0,3,0.9649846153846154,0.3333333333333333,Kaluba,Kaluba,,,unmatched_source_candidate
2024,city_council,Portland City Council,4,2024|4|orestar|kaluba,Kaluba,Mega,0.0,0,325.0,3,0.0,0.0,Kaluba,Kaluba,,,unmatched_source_candidate
2024,city_council,Portland City Council,4,2024|4|orestar|underdahl,Underdahl,Micro,55.21,9,1886.77,23,0.029261648213613742,0.391304347826087,Underdahl,Underdahl,,,unmatched_source_candidate
2024,city_council,Portland City Council,4,2024|4|orestar|underdahl,Underdahl,Small,269.28,6,1886.77,23,0.14272009836917057,0.2608695652173913,Underdahl,Underdahl,,,unmatched_source_candidate
2024,city_council,Portland City Council,4,2024|4|orestar|underdahl,Underdahl,Medium,1172.28,7,1886.77,23,0.6213157936579445,0.30434782608695654,Underdahl,Underdahl,,,unmatched_source_candidate
2024,city_council,Portland City Council,4,2024|4|orestar|underdahl,Underdahl,Large,390.0,1,1886.77,23,0.20670245975927115,0.043478260869565216,Underdahl,Underdahl,,,unmatched_source_candidate
2024,city_council,Portland City Council,4,2024|4|orestar|underdahl,Underdahl,Mega,0.0,0,1886.77,23,0.0,0.0,Underdahl,Underdahl,,,unmatched_source_candidate
2024,city_council,Portland City Council,4,2024|4|sarah silkie,Sarah Silkie,Micro,545.83,54,102010.01,172,0.005350749401945947,0.313953488372093,Silkie,Silkie,Sarah Silkie,2024|4|sarah silkie,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|sarah silkie,Sarah Silkie,Small,1826.45,31,102010.01,172,0.01790461543921033,0.18023255813953487,Silkie,Silkie,Sarah Silkie,2024|4|sarah silkie,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|sarah silkie,Sarah Silkie,Medium,4317.79,27,102010.01,172,0.042327120642376176,0.1569767441860465,Silkie,Silkie,Sarah Silkie,2024|4|sarah silkie,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|sarah silkie,Sarah Silkie,Large,20347.55,37,102010.01,172,0.19946620924750424,0.21511627906976744,Silkie,Silkie,Sarah Silkie,2024|4|sarah silkie,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|sarah silkie,Sarah Silkie,Mega,74972.39,23,102010.01,172,0.7349513052689634,0.13372093023255813,Silkie,Silkie,Sarah Silkie,2024|4|sarah silkie,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|stanley penkin,Stanley Penkin,Micro,459.34000000000003,32,105363.28,131,0.004359583338711551,0.24427480916030533,Penkin,Penkin,Stanley Penkin,2024|4|stanley penkin,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|stanley penkin,Stanley Penkin,Small,2267.92,36,105363.28,131,0.02152476650309292,0.2748091603053435,Penkin,Penkin,Stanley Penkin,2024|4|stanley penkin,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|stanley penkin,Stanley Penkin,Medium,3255.6,19,105363.28,131,0.03089881028760684,0.1450381679389313,Penkin,Penkin,Stanley Penkin,2024|4|stanley penkin,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|stanley penkin,Stanley Penkin,Large,8757.71,19,105363.28,131,0.0831191853556571,0.1450381679389313,Penkin,Penkin,Stanley Penkin,2024|4|stanley penkin,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|stanley penkin,Stanley Penkin,Mega,90622.71,25,105363.28,131,0.8600976545149317,0.19083969465648856,Penkin,Penkin,Stanley Penkin,2024|4|stanley penkin,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|tony morse,Tony Morse,Micro,769.15,53,81288.87,172,0.00946193494878204,0.3081395348837209,Morse,Morse,Tony Morse,2024|4|tony morse,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|tony morse,Tony Morse,Small,2659.09,51,81288.87,172,0.03271161230313572,0.29651162790697677,Morse,Morse,Tony Morse,2024|4|tony morse,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|tony morse,Tony Morse,Medium,1875.44,13,81288.87,172,0.023071301151067793,0.0755813953488372,Morse,Morse,Tony Morse,2024|4|tony morse,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|tony morse,Tony Morse,Large,25728.15,43,81288.87,172,0.31650273893584696,0.25,Morse,Morse,Tony Morse,2024|4|tony morse,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|tony morse,Tony Morse,Mega,50257.04,12,81288.87,172,0.6182524126611676,0.06976744186046512,Morse,Morse,Tony Morse,2024|4|tony morse,matched_to_official_candidate
