year,contest_type,office,district,profile_key,candidate,total_spending,expenditure_count,average_expenditure,median_expenditure,min_expenditure,max_expenditure,std_expenditure,source_file_stem,source_candidate_name,canonical_candidate,candidate_key,linkage_status
2024,city_council,Portland City Council,2,2024|2|chris olson,Chris Olson,42466.85,246,172.62947154471544,20.0,0.2,11500.0,845.4221822320035,Olson,Olson,Chris Olson,2024|2|chris olson,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|laura streib,Laura Streib,30462.27,55,553.8594545454546,72.0,0.6,12000.0,1835.79102924317,Streib,Streib,Laura Streib,2024|2|laura streib,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|will mespelt,Will Mespelt,16523.17,97,170.34195876288658,55.88,0.35,1396.66,263.5506374361449,Mespelt,Mespelt,Will Mespelt,2024|2|will mespelt,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|reuben berlin,Reuben Berlin,9124.48,40,228.112,65.0,0.35,1500.0,349.56630113356914,Berlin,Berlin,Reuben Berlin,2024|2|reuben berlin,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|orestar|middleton,Middleton,6643.41,58,114.54155172413793,91.985,0.53,694.0,137.80823972515722,Middleton,Middleton,,,unmatched_source_candidate
2024,city_council,Portland City Council,2,2024|2|sam sachs,Sam Sachs,5480.68,35,156.59085714285715,55.0,0.35,700.0,199.40495162256286,Sachs,Sachs,Sam Sachs,2024|2|sam sachs,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|orestar|burnell,Burnell,5049.82,31,162.8974193548387,55.0,0.7,1650.0,344.55690395025454,Burnell,Burnell,,,unmatched_source_candidate
2024,city_council,Portland City Council,2,2024|2|orestar|sherman,Sherman,4240.16,54,78.52148148148147,23.83,0.53,442.72,111.59204403586943,Sherman,Sherman,,,unmatched_source_candidate
2024,city_council,Portland City Council,2,2024|2|orestar|emerson,Emerson,1584.9099999999999,23,68.9091304347826,14.85,0.79,750.0,165.29779723861043,Emerson,Emerson,,,unmatched_source_candidate
2024,city_council,Portland City Council,3,2024|3|steve novick,Steve Novick,1081644.06,662,1633.903413897281,129.52499999999998,0.35,75039.0,5813.440766301724,Novick,Novick,Steve Novick,2024|3|steve novick,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|tiffany koyama lane,Tiffany Koyama Lane,308922.62,893,345.9379843225084,21.58,0.04,29165.0,1837.290147543708,Koyama,Koyama,Tiffany Koyama Lane,2024|3|tiffany koyama lane,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|angelita morillo,Angelita Morillo,230589.38999999998,503,458.42821073558645,36.0,0.2,20000.0,1773.1210460017908,Morillo,Morillo,Angelita Morillo,2024|3|angelita morillo,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|orestar|penson,Penson,143910.77,178,808.4874719101123,161.695,2.1,14173.09,1802.1839986526866,Penson,Penson,,,unmatched_source_candidate
2024,city_council,Portland City Council,3,2024|3|jesse cornett,Jesse Cornett,140392.04,349,402.2694555873926,62.78,0.2,13927.54,1167.1436208332345,Cornett,Cornett,Jesse Cornett,2024|3|jesse cornett,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|orestar|morse,Morse,81288.87,172,472.60970930232554,55.0,1.58,22863.25,1854.39705881098,Morse,Morse,,,unmatched_source_candidate
2024,city_council,Portland City Council,3,2024|3|daniel demelo,Daniel DeMelo,67796.95999999999,167,405.9698203592814,35.0,0.23,22490.85,1778.9785804708454,DeMelo,DeMelo,Daniel DeMelo,2024|3|daniel demelo,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|harrison kass,Harrison Kass,60367.86,81,745.2822222222222,300.0,4.38,10000.0,1623.5590521551724,Kass,Kass,Harrison Kass,2024|3|harrison kass,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|chris flanary,Chris Flanary,56362.95,127,443.8027559055118,16.98,0.2,14000.0,1568.855270558698,Flanary,Flanary,Chris Flanary,2024|3|chris flanary,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|ahlam k osman,Ahlam K Osman,45930.68,52,883.2823076923077,171.175,0.35,17000.0,2608.0001118922264,Osman,Osman,Ahlam K Osman,2024|3|ahlam k osman,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|luke zak,Luke Zak,40457.04,127,318.5593700787402,97.0,0.2,5000.0,569.0429176435067,Zak,Zak,Luke Zak,2024|3|luke zak,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|kezia wanner,Kezia Wanner,14580.78,39,373.86615384615385,55.83,0.73,3375.75,773.9402891445395,Wanner,Wanner,Kezia Wanner,2024|3|kezia wanner,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|theo hathaway saner,Theo Hathaway Saner,12588.82,93,135.3636559139785,35.0,0.7,1500.0,256.9850440910697,Hathaway,Hathaway,Theo Hathaway Saner,2024|3|theo hathaway saner,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|kelly janes kj,Kelly Janes (KJ),9301.96,61,152.4911475409836,55.0,0.35,1221.84,243.5027872058029,Janes,Janes,Kelly Janes (KJ),2024|3|kelly janes kj,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|philippe knab,Philippe Knab,5919.57,37,159.98837837837837,75.0,0.18,750.0,192.74896793949833,Knab,Knab,Philippe Knab,2024|3|philippe knab,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|jonathan jon walker,Jonathan (Jon) Walker,4611.13,78,59.117051282051285,36.965,0.14,452.31,80.35832709029339,Walker,Walker,Jonathan (Jon) Walker,2024|3|jonathan jon walker,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|brian conley,Brian Conley,2219.4300000000003,17,130.55470588235295,36.0,0.99,620.0,181.40711428709346,Conley,Conley,Brian Conley,2024|3|brian conley,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|patrick hilton,Patrick Hilton,672.19,13,51.70692307692308,28.75,1.02,277.1,76.18057094655822,Hilton,Hilton,Patrick Hilton,2024|3|patrick hilton,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|eric zimmerman,Eric Zimmerman,291095.65,188,1548.3811170212766,156.64,0.35,50000.0,5260.654641166136,Zimmerman,Zimmerman,Eric Zimmerman,2024|4|eric zimmerman,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|mitch green,Mitch Green,197062.06,586,336.28337883959045,14.31,0.08,16830.0,1108.3212568103274,Green,Green,Mitch Green,2024|4|mitch green,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|olivia clark,Olivia Clark,194106.54,147,1320.4526530612245,131.75,0.7,32122.46,4749.128754920359,Clark,Clark,Olivia Clark,2024|4|olivia clark,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|chad lykins,Chad Lykins,127926.92,160,799.54325,117.5,0.88,26750.0,2760.3309388512307,Lykins,Lykins,Chad Lykins,2024|4|chad lykins,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|moses ross,Moses Ross,110289.04,264,417.76151515151514,42.0,0.16,12250.0,1245.65273765071,Ross,Ross,Moses Ross,2024|4|moses ross,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|eli arnold,Eli Arnold,108592.89,196,554.0453571428571,105.38499999999999,0.69,20223.57,1675.4437560299878,Arnold,Arnold,Eli Arnold,2024|4|eli arnold,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|stanley penkin,Stanley Penkin,105363.28,131,804.2998473282443,100.0,0.35,18573.0,2085.64751982687,Penkin,Penkin,Stanley Penkin,2024|4|stanley penkin,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|sarah silkie,Sarah Silkie,102010.01,172,593.0814534883721,105.435,0.2,22000.0,2030.7147271209285,Silkie,Silkie,Sarah Silkie,2024|4|sarah silkie,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|ben hufford,Ben Hufford,89305.67,75,1190.7422666666666,75.0,0.7,31564.42,4575.44462506653,Hufford,Hufford,Ben Hufford,2024|4|ben hufford,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|tony morse,Tony Morse,81288.87,172,472.60970930232554,55.0,1.58,22863.25,1854.39705881098,Morse,Morse,Tony Morse,2024|4|tony morse,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|bob weinstein,Bob Weinstein,80985.14,99,818.0317171717172,300.0,0.88,19180.0,2231.927695246018,Weinstein,Weinstein,Bob Weinstein,2024|4|bob weinstein,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|lisa freeman,Lisa Freeman,66943.08,201,333.0501492537314,149.95,0.4,5000.0,558.9995507945223,Freeman,Freeman,Lisa Freeman,2024|4|lisa freeman,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|chris henry,Chris Henry,28935.93,80,361.699125,38.504999999999995,0.55,7911.0,1206.2696195035335,Henry,Henry,Chris Henry,2024|4|chris henry,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|jeremy beausoleil smith,Jeremy Beausoleil Smith,22616.06,234,96.64982905982906,2.97,0.2,2800.0,273.41355590683276,Smith,Smith,Jeremy Beausoleil Smith,2024|4|jeremy beausoleil smith,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|bob callahan,Bob Callahan,22430.829999999998,98,228.88602040816323,26.0,0.33,2700.0,471.3197111483767,Callahan,Callahan,Bob Callahan,2024|4|bob callahan,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|john toran,John Toran,16332.26,93,175.6156989247312,64.04,0.69,2000.0,295.29972020112865,Toran,Toran,John Toran,2024|4|john toran,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|ciatta r thompson,Ciatta R Thompson,11191.4,51,219.4392156862745,47.78,0.35,2500.0,442.75727188084977,Thompson,Thompson,Ciatta R Thompson,2024|4|ciatta r thompson,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|chloe mason,Chloe Mason,8723.41,33,264.34575757575755,150.0,2.63,1995.0,356.0512128194333,Mason,Mason,Chloe Mason,2024|4|chloe mason,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|mike dinapoli,Mike DiNapoli,7389.0,45,164.2,15.05,0.7,1541.8,278.9687598101264,DiNapoli,DiNapoli,Mike DiNapoli,2024|4|mike dinapoli,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|orestar|underdahl,Underdahl,1886.77,23,82.03347826086956,40.57,0.18,390.0,100.40803791659745,Underdahl,Underdahl,,,unmatched_source_candidate
2024,city_council,Portland City Council,4,2024|4|michael trimble,Michael Trimble,1349.86,22,61.35727272727272,4.115,0.7,700.0,150.45561750837632,trimble,trimble,Michael Trimble,2024|4|michael trimble,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|orestar|kaluba,Kaluba,325.0,3,108.33333333333333,10.68,0.7,313.62,177.85348389428117,Kaluba,Kaluba,,,unmatched_source_candidate
