year,contest_type,office,district,profile_key,candidate,spending_amount_micro,spending_amount_small,spending_amount_medium,spending_amount_large,spending_amount_mega,spending_amount_share_micro,spending_amount_share_small,spending_amount_share_medium,spending_amount_share_large,spending_amount_share_mega,spending_count_micro,spending_count_small,spending_count_medium,spending_count_large,spending_count_mega,spending_count_share_micro,spending_count_share_small,spending_count_share_medium,spending_count_share_large,spending_count_share_mega,total_spending,expenditure_count,average_expenditure,median_expenditure,min_expenditure,max_expenditure,std_expenditure,source_file_stem,source_candidate_name,canonical_candidate,candidate_key,linkage_status
2024,city_council,Portland City Council,1,2024|1|thomas shervey,Thomas Shervey,66.93,466.45,115.0,1575.6,0.0,0.030094695096178924,0.20973659835070457,0.05170909810340021,0.7084596084497162,0.0,13,8,1,3,0,0.52,0.32,0.04,0.12,0.0,2223.98,25,88.9592,14.99,0.2,945.6,197.70612673696618,Shervey,Shervey,Thomas Shervey,2024|1|thomas shervey,matched_to_official_candidate
2024,city_council,Portland City Council,1,2024|1|timur ender,Timur Ender,324.39,2299.52,1294.37,20787.16,132936.98,0.0020577583115001657,0.014586936688741519,0.008210797575931655,0.1318627308563266,0.8432817765675,30,45,8,37,40,0.1875,0.28125,0.05,0.23125,0.25,157642.42,160,985.2651250000001,184.87,0.24,13098.42,1835.0556057360718,Ender,Ender,Timur Ender,2024|1|timur ender,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|bob simril,Bob Simril,617.0,2908.64,5347.19,13502.550000000001,58506.58,0.007628400696521203,0.035961541980436676,0.06611103390669563,0.1669414292136343,0.7233575942027123,43,51,32,30,23,0.24022346368715083,0.2849162011173184,0.1787709497206704,0.16759776536312848,0.12849162011173185,80881.96,179,451.8545251396648,93.04,1.4,7500.0,1026.4299445926029,Simril,Simril,Bob Simril,2024|2|bob simril,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|chris olson,Chris Olson,1958.03,2500.0,3031.94,9509.83,25467.05,0.04610725777871446,0.058869447580877796,0.07139545315934664,0.22393537547522363,0.5996924660058375,151,51,19,18,7,0.6138211382113821,0.2073170731707317,0.07723577235772358,0.07317073170731707,0.028455284552845527,42466.85,246,172.62947154471544,20.0,0.2,11500.0,845.4221822320035,Olson,Olson,Chris Olson,2024|2|chris olson,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|debbie kitchin,Debbie Kitchin,659.32,1003.89,3264.82,15866.62,49810.83,0.009338085372410185,0.014218301468951132,0.04624032015645244,0.22472221702904646,0.7054810759731397,62,20,20,34,14,0.41333333333333333,0.13333333333333333,0.13333333333333333,0.22666666666666666,0.09333333333333334,70605.48,150,470.7032,53.92,0.18,19000.0,1706.0033708438657,Kitchin,Kitchin,Debbie Kitchin,2024|2|debbie kitchin,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|elana pirtle guiney,Elana Pirtle-Guiney,302.54,2154.53,2121.9,14372.27,66506.51,0.003540228943542277,0.02521163966989536,0.02482981356284246,0.16817983155418906,0.7782384862695307,23,38,13,28,19,0.19008264462809918,0.3140495867768595,0.10743801652892562,0.23140495867768596,0.15702479338842976,85457.75,121,706.2623966942149,100.0,0.35,24511.91,2390.557491193224,Pirtle,Pirtle,Elana Pirtle-Guiney,2024|2|elana pirtle guiney,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|james armstrong,James Armstrong,733.95,2031.3899999999999,3431.77,15996.95,41590.229999999996,0.011506751897685153,0.03184781080106089,0.05380274672650586,0.25079764938984195,0.6520450411849061,55,44,18,32,16,0.3333333333333333,0.26666666666666666,0.10909090909090909,0.19393939393939394,0.09696969696969697,63784.29,165,386.57145454545457,45.33,0.38,9897.13,1109.7177049066293,Armstrong,Armstrong,James Armstrong,2024|2|james armstrong,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|jennifer park,Jennifer Park,532.97,3836.6,6154.16,15129.52,20251.84,0.011610259341611138,0.08357678854349268,0.1340626932656052,0.32958262362626894,0.44116763522302216,49,58,35,32,12,0.26344086021505375,0.3118279569892473,0.1881720430107527,0.17204301075268819,0.06451612903225806,45905.090000000004,186,246.80155913978496,85.91,0.35,3369.8,459.98247082140136,Park,Park,Jennifer Park,2024|2|jennifer park,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|jonathan tasini,Jonathan Tasini,565.3,2409.43,3217.64,15211.73,85259.51,0.005299839373522048,0.022589053567566297,0.03016623945129928,0.14261405553402892,0.7993308120735836,48,43,22,31,25,0.28402366863905326,0.25443786982248523,0.1301775147928994,0.1834319526627219,0.14792899408284024,106663.61,169,631.1456213017751,77.98,0.2,10000.0,1595.9607114125276,Tasini,Tasini,Jonathan Tasini,2024|2|jonathan tasini,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|laura streib,Laura Streib,280.36,589.03,1036.76,6773.12,21783.0,0.009203516349897758,0.019336379068270355,0.03403423316778428,0.2223445593516176,0.71508131206243,21,10,7,13,4,0.38181818181818183,0.18181818181818182,0.12727272727272726,0.23636363636363636,0.07272727272727272,30462.27,55,553.8594545454546,72.0,0.6,12000.0,1835.79102924317,Streib,Streib,Laura Streib,2024|2|laura streib,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|mariah hudson,Mariah Hudson,580.03,2724.36,3287.05,20715.07,127518.6,0.0037463561304752176,0.01759637051121746,0.021230729304826588,0.13379657860407784,0.8236299654494028,66,46,22,38,25,0.3350253807106599,0.233502538071066,0.1116751269035533,0.19289340101522842,0.12690355329949238,154825.11000000002,197,785.914263959391,70.9,0.35,14684.0,2391.8466456367914,Hudson,Hudson,Mariah Hudson,2024|2|mariah hudson,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|marnie glickman,Marnie Glickman,500.34000000000003,1541.18,1111.57,9580.91,120728.97,0.0037489050333586915,0.011547622535299493,0.008328677235341008,0.07178702826709162,0.9045877669289092,40,33,8,16,31,0.3125,0.2578125,0.0625,0.125,0.2421875,133462.97,128,1042.679453125,48.015,0.4,15216.63,2230.0405023059325,Glickman,Glickman,Marnie Glickman,2024|2|marnie glickman,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|michael mike marshall,Michael (Mike) Marshall,403.13,3206.15,4830.92,20698.26,71792.78,0.003994105293861445,0.03176568523283772,0.04786347616456511,0.20507287931863316,0.7113038539901027,38,56,34,38,26,0.19791666666666666,0.2916666666666667,0.17708333333333334,0.19791666666666666,0.13541666666666666,100931.24,192,525.6835416666667,100.8,0.6,9897.13,1308.8536703103114,Marshall,Marshall,Michael (Mike) Marshall,2024|2|michael mike marshall,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|michelle depass,Michelle DePass,393.89,4007.15,10003.74,18884.9,88247.21,0.003240908994791622,0.03297064784198443,0.0823103174682189,0.1553840977829859,0.7260940279120192,42,72,58,36,25,0.18025751072961374,0.3090128755364807,0.24892703862660945,0.15450643776824036,0.1072961373390558,121536.89,233,521.6175536480687,111.3,0.2,18923.56,1605.7165418125503,DePass,DePass,Michelle DePass,2024|2|michelle depass,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|nabil zaghloul,Nabil Zaghloul,207.35,2428.26,5452.85,25799.5,75831.79,0.0018898147325344798,0.022131475873760197,0.049697980536776654,0.23513998163502925,0.6911407472218993,21,40,33,51,28,0.12138728323699421,0.23121387283236994,0.1907514450867052,0.2947976878612717,0.16184971098265896,109719.75,173,634.2182080924855,210.0,0.18,24485.0,1964.6845270269762,Zaghloul,Zaghloul,Nabil Zaghloul,2024|2|nabil zaghloul,matched_to_official_candidate
2024,city_council,Portland City Council,2,2024|2|nat west,Nat West,252.87,3166.97,4471.16,16269.02,106980.04000000001,0.001928243741843644,0.024149523799211314,0.0340945398377887,0.12405835409866368,0.8157693385224928,24,53,28,35,29,0.14201183431952663,0.3136094674556213,0.16568047337278108,0.20710059171597633,0.17159763313609466,131140.06,169,775.9766863905326,116.8,0.2,11385.39,1923.884003156649,West,West,Nat West,2024|2|nat west,matched_to_official_candidate
