outcome,predictor,n,slope,p_value,r_squared
mentions,fundraising — raw dollars,65,0.35389348219230155,2.1386397425026157e-14,0.6069417690835155
mentions,fundraising — log dollars,65,5853.9009758885095,1.3515426008924645e-10,0.48284404097708356
mentions,spending — raw dollars,65,0.025645116434324745,0.00018402887775571794,0.20049274858895838
mentions,spending — log dollars,65,5477.457031501118,1.2462753900660526e-10,0.4841527375255029
first_place_votes,fundraising — raw dollars,65,0.12552597484986192,5.329761374249737e-13,0.5651640937719475
first_place_votes,fundraising — log dollars,65,1794.3458690979394,4.249387202774415e-07,0.3357638295973213
first_place_votes,spending — raw dollars,65,0.010633663458666266,1.66850676011278e-05,0.25657326116574153
first_place_votes,spending — log dollars,65,1740.2736177545112,1.0548132189785689e-07,0.3637606842895327
