money,outcome,n,pearson,spearman
fundraising,mentions,65,0.7790646758026676,0.8002622377622377
fundraising,first_place_votes,65,0.7517739645478204,0.7642045454545454
total_spending,mentions,65,0.44776416626273075,0.8002622377622377
total_spending,first_place_votes,65,0.5065306122691319,0.8029720279720279
