year,district,candidate,candidate_norm,contribution_records,total_amount,first_record_date,last_record_date
2024,4,Ben Hufford,ben hufford,663,89074.17,2024-02-01 00:00:00+00:00,2024-11-01 12:00:00+00:00
2024,4,Bob Weinstein,bob weinstein,474,73919.91,2024-01-12 00:00:00+00:00,2024-11-04 12:00:00+00:00
2024,4,Chad Lykins,chad lykins,964,127007.66,2023-09-09 00:00:00+00:00,2024-10-31 12:00:00+00:00
2024,4,Chris Henry,chris henry,592,30890.24,2024-06-20 17:00:00+00:00,2024-10-24 17:00:00+00:00
2024,4,Eli Arnold,eli arnold,941,90778.15000000001,2023-12-10 00:00:00+00:00,2024-11-03 12:00:00+00:00
2024,4,Eric Zimmerman,eric zimmerman,523,81878.55,2024-01-30 00:00:00+00:00,2024-10-31 12:00:00+00:00
2024,4,John Toran,john toran,11,180.0,2024-06-06 12:00:00+00:00,2024-08-27 12:00:00+00:00
2024,4,Lisa Freeman,lisa freeman,555,65827.58,2024-03-03 00:00:00+00:00,2024-11-01 12:00:00+00:00
2024,4,Michael Trimble,michael trimble,29,509.0,2024-02-14 00:00:00+00:00,2024-08-12 12:00:00+00:00
2024,4,Mike DiNapoli,mike dinapoli,131,7289.0,2023-10-15 00:00:00+00:00,2024-08-11 12:00:00+00:00
2024,4,Mitchell Green,mitchell green,1573,140464.56,2024-01-28 00:00:00+00:00,2024-11-05 08:00:00+00:00
2024,4,Moses Ross,moses ross,1023,99919.13,2023-09-27 00:00:00+00:00,2024-11-04 12:00:00+00:00
2024,4,Olivia Clark,olivia clark,1174,175639.0,2023-10-06 00:00:00+00:00,2024-10-29 12:00:00+00:00
2024,4,Sarah Silkie,sarah silkie,1020,94150.64,2023-10-07 00:00:00+00:00,2024-11-01 07:00:00+00:00
2024,4,Stan Penkin,stan penkin,831,101847.0,2024-02-13 00:00:00+00:00,2024-10-31 12:00:00+00:00
2024,4,Tony Morse,tony morse,555,81809.6,2023-08-24 00:00:00+00:00,2024-11-03 12:00:00+00:00
2026,3,Angelita Morillo,angelita morillo,1392,194936.58000000002,2025-01-05 08:00:00+00:00,2026-08-06 07:00:00+00:00
2026,3,Brandon Mullen,brandon mullen,340,11715.0,2025-12-18 16:00:00+00:00,2026-07-08 07:00:00+00:00
