year,district,receiving_candidate,conditioning_candidate,boost
2024,1,Noah Ernst,David Linn,0.03601617258868084
2024,1,Noah Ernst,Cayle Tern,-0.11621080173298504
2024,1,Noah Ernst,Doug Clove,0.20155796317985902
2024,1,Noah Ernst,Deian Salazar,0.047600896260063585
2024,1,Noah Ernst,Michael (Mike) Sands,-0.010711435917218681
2024,1,Noah Ernst,Joe Allen,0.11757551772017533
2024,1,Noah Ernst,Joe Furi,0.18849462506713333
2024,1,Noah Ernst,Peggy Sue Owens,0.03504462909969097
2024,1,Noah Ernst,Thomas Shervey,0.031533503435352994
2024,1,Noah Ernst,Uncertified Write In,-0.028106381425008486
2024,1,David Linn,Candace Avalos,0.026144398996834045
2024,1,David Linn,Steph Routh,0.037353765889668294
2024,1,David Linn,Jamie Dunphy,0.046830841424438246
2024,1,David Linn,Loretta Smith,-0.009249019974348266
2024,1,David Linn,Timur Ender,0.037107545532635094
2024,1,David Linn,Terrence Hayes,-0.030291081230805372
2024,1,David Linn,Noah Ernst,0.028934584974742356
2024,1,David Linn,Cayle Tern,0.08931972459832074
2024,1,David Linn,Doug Clove,0.00587394605354874
2024,1,David Linn,Deian Salazar,-0.010344106311491907
2024,1,David Linn,Michael (Mike) Sands,0.08139407839861315
2024,1,David Linn,Joe Allen,0.06323686051230923
2024,1,David Linn,Joe Furi,0.016416955569296315
2024,1,David Linn,Peggy Sue Owens,0.06733844262415115
2024,1,David Linn,Thomas Shervey,0.07506806332220048
2024,1,David Linn,Uncertified Write In,-0.1288427109967466
2024,1,Cayle Tern,Candace Avalos,0.09596076352791377
2024,1,Cayle Tern,Steph Routh,0.03605204979157198
2024,1,Cayle Tern,Jamie Dunphy,0.03071322351486791
2024,1,Cayle Tern,Loretta Smith,-0.035309621552732345
2024,1,Cayle Tern,Timur Ender,0.11590802530616734
2024,1,Cayle Tern,Terrence Hayes,-0.04144204976822216
2024,1,Cayle Tern,Noah Ernst,-0.09072773345705475
2024,1,Cayle Tern,David Linn,0.0868003029370854
2024,1,Cayle Tern,Doug Clove,-0.08887376250387062
2024,1,Cayle Tern,Deian Salazar,0.03113835331846529
2024,1,Cayle Tern,Michael (Mike) Sands,0.016705050971163676
2024,1,Cayle Tern,Joe Allen,-0.023867608739908036
2024,1,Cayle Tern,Joe Furi,-0.021920105783323346
2024,1,Cayle Tern,Peggy Sue Owens,0.017386281597501885
2024,1,Cayle Tern,Thomas Shervey,-0.020878804742022306
2024,1,Cayle Tern,Uncertified Write In,-0.10871113829752847
2024,1,Doug Clove,Candace Avalos,-0.0916499410763191
2024,1,Doug Clove,Steph Routh,-0.07456870223833108
2024,1,Doug Clove,Jamie Dunphy,-0.07218582504921496
2024,1,Doug Clove,Loretta Smith,-0.0077399577487739235
2024,1,Doug Clove,Timur Ender,-0.06944871646560859
2024,1,Doug Clove,Terrence Hayes,0.03795584539458646
2024,1,Doug Clove,Noah Ernst,0.13186538121873767
2024,1,Doug Clove,David Linn,0.004783448346696223
2024,1,Doug Clove,Cayle Tern,-0.07447505558899566
2024,1,Doug Clove,Deian Salazar,0.11308110909589633
2024,1,Doug Clove,Michael (Mike) Sands,0.08693653511872065
2024,1,Doug Clove,Joe Allen,0.17969856816595328
2024,1,Doug Clove,Joe Furi,0.2631821067453546
2024,1,Doug Clove,Peggy Sue Owens,0.03043443626183509
2024,1,Doug Clove,Thomas Shervey,0.15450973579753455
2024,1,Doug Clove,Uncertified Write In,0.02661977033853921
2024,1,Deian Salazar,Candace Avalos,-0.015451500923430339
2024,1,Deian Salazar,Steph Routh,-0.02680097932718649
2024,1,Deian Salazar,Jamie Dunphy,-0.027775506168724637
2024,1,Deian Salazar,Loretta Smith,0.015882906675418126
2024,1,Deian Salazar,Timur Ender,-0.028719670946999648
2024,1,Deian Salazar,Terrence Hayes,0.03577412205914886
2024,1,Deian Salazar,Noah Ernst,0.021581588499091378
2024,1,Deian Salazar,David Linn,-0.005837697062534369
2024,1,Deian Salazar,Cayle Tern,0.01808299472042428
2024,1,Deian Salazar,Doug Clove,0.07836596813678472
2024,1,Deian Salazar,Michael (Mike) Sands,0.023718500507520016
2024,1,Deian Salazar,Joe Allen,0.05465625515694762
2024,1,Deian Salazar,Joe Furi,0.090527499302662
2024,1,Deian Salazar,Peggy Sue Owens,0.07240054930701208
2024,1,Deian Salazar,Thomas Shervey,0.05633011660228528
2024,1,Deian Salazar,Uncertified Write In,-0.0372037665312477
2024,1,Michael (Mike) Sands,Candace Avalos,-0.0273399413912859
2024,1,Michael (Mike) Sands,Steph Routh,-0.021200811737538197
2024,1,Michael (Mike) Sands,Jamie Dunphy,-0.014757931391030349
2024,1,Michael (Mike) Sands,Loretta Smith,-0.0026509896734812632
2024,1,Michael (Mike) Sands,Timur Ender,-0.014189303848108847
2024,1,Michael (Mike) Sands,Terrence Hayes,-0.0011406877317763214
2024,1,Michael (Mike) Sands,Noah Ernst,-0.004795504138020712
2024,1,Michael (Mike) Sands,David Linn,0.045358604821878354
2024,1,Michael (Mike) Sands,Cayle Tern,0.009579455341150692
2024,1,Michael (Mike) Sands,Doug Clove,0.05949193157867409
2024,1,Michael (Mike) Sands,Deian Salazar,0.023421005062157732
2024,1,Michael (Mike) Sands,Joe Allen,0.127436927919374
2024,1,Michael (Mike) Sands,Joe Furi,0.06184587130914483
2024,1,Michael (Mike) Sands,Peggy Sue Owens,0.09797727045424261
2024,1,Michael (Mike) Sands,Thomas Shervey,0.1240230263006711
2024,1,Michael (Mike) Sands,Uncertified Write In,-0.051216363837071635
2024,1,Joe Allen,Candace Avalos,-0.04403845083068955
2024,1,Joe Allen,Steph Routh,-0.042927632622529674
2024,1,Joe Allen,Jamie Dunphy,-0.03490793706714129
2024,1,Joe Allen,Loretta Smith,-0.016213192824770767
2024,1,Joe Allen,Timur Ender,-0.026185536388277364
2024,1,Joe Allen,Terrence Hayes,-0.011239094361681745
2024,1,Joe Allen,Noah Ernst,0.05019702656414515
2024,1,Joe Allen,David Linn,0.03360560315728145
2024,1,Joe Allen,Cayle Tern,-0.0130519811617089
2024,1,Joe Allen,Doug Clove,0.11726674637986284
2024,1,Joe Allen,Deian Salazar,0.05146745425744498
2024,1,Joe Allen,Michael (Mike) Sands,0.1215261697152614
2024,1,Joe Allen,Joe Furi,0.14240596195764027
2024,1,Joe Allen,Peggy Sue Owens,0.17054114853169994
2024,1,Joe Allen,Thomas Shervey,0.15188577383266172
2024,1,Joe Allen,Uncertified Write In,-0.02693232868702676
2024,1,Joe Furi,Candace Avalos,-0.04090983336953265
2024,1,Joe Furi,Steph Routh,-0.042587634107894165
2024,1,Joe Furi,Jamie Dunphy,-0.03722075684249208
2024,1,Joe Furi,Loretta Smith,0.00582025705520102
2024,1,Joe Furi,Timur Ender,-0.035972867131801235
2024,1,Joe Furi,Terrence Hayes,0.016105552438673204
2024,1,Joe Furi,Noah Ernst,0.06610142374833985
2024,1,Joe Furi,David Linn,0.007166131399296005
2024,1,Joe Furi,Cayle Tern,-0.00984602478072244
2024,1,Joe Furi,Doug Clove,0.14107087771020588
2024,1,Joe Furi,Deian Salazar,0.07002031968107836
2024,1,Joe Furi,Michael (Mike) Sands,0.04844355200697065
2024,1,Joe Furi,Joe Allen,0.1169711937775168
2024,1,Joe Furi,Peggy Sue Owens,0.0572997491214379
2024,1,Joe Furi,Thomas Shervey,0.09867680374829171
2024,1,Joe Furi,Uncertified Write In,0.010818306124565594
2024,1,Peggy Sue Owens,Candace Avalos,-0.004200870577362736
2024,1,Peggy Sue Owens,Steph Routh,-0.035991126567706574
2024,1,Peggy Sue Owens,Jamie Dunphy,-0.019213377279444124
2024,1,Peggy Sue Owens,Loretta Smith,0.02346470196611518
2024,1,Peggy Sue Owens,Timur Ender,-0.04119065902704983
2024,1,Peggy Sue Owens,Terrence Hayes,-0.020353329947794443
2024,1,Peggy Sue Owens,Noah Ernst,0.011682549542194068
2024,1,Peggy Sue Owens,David Linn,0.02794213154363373
2024,1,Peggy Sue Owens,Cayle Tern,0.007423852058352803
2024,1,Peggy Sue Owens,Doug Clove,0.015507814289087318
2024,1,Peggy Sue Owens,Deian Salazar,0.05323407929852332
2024,1,Peggy Sue Owens,Michael (Mike) Sands,0.07295497678742587
2024,1,Peggy Sue Owens,Joe Allen,0.13316320962041311
2024,1,Peggy Sue Owens,Joe Furi,0.05446995807146025
2024,1,Peggy Sue Owens,Thomas Shervey,0.03264957637083904
2024,1,Peggy Sue Owens,Uncertified Write In,-0.020263038745517895
2024,1,Thomas Shervey,Candace Avalos,-0.02476847586020539
2024,1,Thomas Shervey,Steph Routh,-0.012038383844931236
2024,1,Thomas Shervey,Jamie Dunphy,-0.007087794906609504
2024,1,Thomas Shervey,Loretta Smith,-0.018413870470137553
2024,1,Thomas Shervey,Timur Ender,-0.021772704296247967
2024,1,Thomas Shervey,Terrence Hayes,0.002871091262546435
2024,1,Thomas Shervey,Noah Ernst,0.00952851943372246
2024,1,Thomas Shervey,David Linn,0.02823505985317
2024,1,Thomas Shervey,Cayle Tern,-0.008081003005217108
2024,1,Thomas Shervey,Doug Clove,0.0713638408326029
2024,1,Thomas Shervey,Deian Salazar,0.03754270599091876
2024,1,Thomas Shervey,Michael (Mike) Sands,0.08370838207014118
2024,1,Thomas Shervey,Joe Allen,0.10750018341698177
2024,1,Thomas Shervey,Joe Furi,0.08502691664502678
2024,1,Thomas Shervey,Peggy Sue Owens,0.029594743947410823
2024,1,Thomas Shervey,Uncertified Write In,-0.01959515205169198
2024,1,Uncertified Write In,Candace Avalos,-0.008037510185444524
2024,1,Uncertified Write In,Steph Routh,-0.008344863471313226
2024,1,Uncertified Write In,Jamie Dunphy,-0.007743475702285966
2024,1,Uncertified Write In,Loretta Smith,-0.00343264752463133
2024,1,Uncertified Write In,Timur Ender,-0.009066582055856986
2024,1,Uncertified Write In,Terrence Hayes,-0.0034747160525359696
2024,1,Uncertified Write In,Noah Ernst,-0.0015571603701775346
2024,1,Uncertified Write In,David Linn,-0.0088852277103076
2024,1,Uncertified Write In,Cayle Tern,-0.007714519581206358
2024,1,Uncertified Write In,Doug Clove,0.0022542489566285684
2024,1,Uncertified Write In,Deian Salazar,-0.004546184317672418
2024,1,Uncertified Write In,Michael (Mike) Sands,-0.006337975740422837
2024,1,Uncertified Write In,Joe Allen,-0.003494952037489042
2024,1,Uncertified Write In,Joe Furi,0.0017091328840529926
2024,1,Uncertified Write In,Peggy Sue Owens,-0.0033675714431036473
2024,1,Uncertified Write In,Thomas Shervey,-0.003592723914809793
2024,2,Elana Pirtle-Guiney,Dan Ryan,0.08195407593156068
2024,2,Elana Pirtle-Guiney,Michelle DePass,0.1317282556599545
2024,2,Elana Pirtle-Guiney,Sameer Kanal,-0.0016603410786013573
2024,2,Elana Pirtle-Guiney,Nat West,0.007278596857197894
2024,2,Elana Pirtle-Guiney,Tiffani Penson,-0.02115342485639954
2024,2,Elana Pirtle-Guiney,Jonathan Tasini,0.01250617603574844
2024,2,Elana Pirtle-Guiney,Marnie Glickman,0.04177258512034321
2024,2,Elana Pirtle-Guiney,Mariah Hudson,0.07633940401442996
2024,2,Elana Pirtle-Guiney,Michael (Mike) Marshall,0.09724635970384377
2024,2,Elana Pirtle-Guiney,James Armstrong,0.12162490347894706
2024,2,Elana Pirtle-Guiney,Jennifer Park,-0.11008089125887272
2024,2,Elana Pirtle-Guiney,Bob Simril,-0.1808898539288904
2024,2,Elana Pirtle-Guiney,Debbie Kitchin,0.001839320907690123
2024,2,Elana Pirtle-Guiney,Chris Olson,-0.1394323649237722
2024,2,Elana Pirtle-Guiney,Nabil Zaghloul,-0.05952987292702444
2024,2,Elana Pirtle-Guiney,Laura Streib,-0.0984238194028198
2024,2,Elana Pirtle-Guiney,Liz Taylor,-0.15955364184899556
2024,2,Elana Pirtle-Guiney,Will Mespelt,-0.31514265915497214
2024,2,Elana Pirtle-Guiney,Reuben Berlin,-0.2247887814804229
2024,2,Elana Pirtle-Guiney,Sam Sachs,-0.2196291410681308
2024,2,Elana Pirtle-Guiney,Antonio Jamal PettyJohnBlue,-0.17129464112631648
2024,2,Elana Pirtle-Guiney,Uncertified Write In,-0.25023751962382934
2024,2,Dan Ryan,Elana Pirtle-Guiney,0.08159055837752777
2024,2,Dan Ryan,Michelle DePass,-0.016461185647043908
2024,2,Dan Ryan,Sameer Kanal,-0.2314344283858249
2024,2,Dan Ryan,Nat West,-0.1124496917298678
2024,2,Dan Ryan,Tiffani Penson,0.03763627387726104
2024,2,Dan Ryan,Jonathan Tasini,-0.19853194484353567
2024,2,Dan Ryan,Marnie Glickman,-0.19315285890671627
2024,2,Dan Ryan,Mariah Hudson,0.193515637344919
2024,2,Dan Ryan,Michael (Mike) Marshall,0.15589833779134882
2024,2,Dan Ryan,James Armstrong,0.22156588424494478
2024,2,Dan Ryan,Jennifer Park,-0.28169951923772624
2024,2,Dan Ryan,Bob Simril,0.1320546625954912
2024,2,Dan Ryan,Debbie Kitchin,-0.11359824031282839
2024,2,Dan Ryan,Chris Olson,-0.3002004033978775
2024,2,Dan Ryan,Nabil Zaghloul,0.021428102951943806
2024,2,Dan Ryan,Laura Streib,-0.10944885970575363
2024,2,Dan Ryan,Liz Taylor,-0.10419735424415516
2024,2,Dan Ryan,Will Mespelt,0.05654928619534527
2024,2,Dan Ryan,Reuben Berlin,-0.03280820145388191
2024,2,Dan Ryan,Sam Sachs,-0.023608140364697716
2024,2,Dan Ryan,Antonio Jamal PettyJohnBlue,-0.1987544295944408
2024,2,Dan Ryan,Uncertified Write In,-0.12977558941642664
2024,2,Michelle DePass,Elana Pirtle-Guiney,0.12536249193365345
2024,2,Michelle DePass,Dan Ryan,-0.015735496140268423
2024,2,Michelle DePass,Sameer Kanal,0.13395793490174002
2024,2,Michelle DePass,Nat West,0.01165400070430428
2024,2,Michelle DePass,Tiffani Penson,-0.05959516429894529
2024,2,Michelle DePass,Jonathan Tasini,0.03229772448974538
2024,2,Michelle DePass,Marnie Glickman,0.008355502298916462
2024,2,Michelle DePass,Mariah Hudson,-0.060743572596541895
2024,2,Michelle DePass,Michael (Mike) Marshall,-0.04362194646416895
2024,2,Michelle DePass,James Armstrong,0.05007815663845866
2024,2,Michelle DePass,Jennifer Park,-0.05032258229584674
2024,2,Michelle DePass,Bob Simril,-0.2557026599738112
2024,2,Michelle DePass,Debbie Kitchin,-0.05988456697812239
2024,2,Michelle DePass,Chris Olson,-0.18255879276633144
2024,2,Michelle DePass,Nabil Zaghloul,-0.16981660113772362
2024,2,Michelle DePass,Laura Streib,-0.13347923938550393
2024,2,Michelle DePass,Liz Taylor,-0.1731670185538907
2024,2,Michelle DePass,Will Mespelt,-0.3127324504944624
2024,2,Michelle DePass,Reuben Berlin,-0.2672795380200186
2024,2,Michelle DePass,Sam Sachs,-0.19356300980220567
2024,2,Michelle DePass,Antonio Jamal PettyJohnBlue,-0.0008435585887301977
2024,2,Michelle DePass,Uncertified Write In,-0.19466347719887236
2024,2,Sameer Kanal,Elana Pirtle-Guiney,-0.0015101409693547008
2024,2,Sameer Kanal,Dan Ryan,-0.2114359322291415
2024,2,Sameer Kanal,Michelle DePass,0.12802652137303544
2024,2,Sameer Kanal,Nat West,0.1618502072782269
2024,2,Sameer Kanal,Tiffani Penson,-0.032653992230722295
2024,2,Sameer Kanal,Jonathan Tasini,0.2521871569856878
2024,2,Sameer Kanal,Marnie Glickman,0.22076689244999875
2024,2,Sameer Kanal,Mariah Hudson,-0.21059863130475873
2024,2,Sameer Kanal,Michael (Mike) Marshall,-0.14617694320721414
2024,2,Sameer Kanal,James Armstrong,-0.2368199076011508
2024,2,Sameer Kanal,Jennifer Park,0.22441551842787827
2024,2,Sameer Kanal,Bob Simril,-0.2246932315674896
2024,2,Sameer Kanal,Debbie Kitchin,0.05478122466638807
2024,2,Sameer Kanal,Chris Olson,0.24886104894767308
2024,2,Sameer Kanal,Nabil Zaghloul,-0.044652886751579746
2024,2,Sameer Kanal,Laura Streib,-0.10218164371552052
2024,2,Sameer Kanal,Liz Taylor,-0.15665797569683249
2024,2,Sameer Kanal,Will Mespelt,-0.24999058655625156
2024,2,Sameer Kanal,Reuben Berlin,-0.15686254785244585
2024,2,Sameer Kanal,Sam Sachs,-0.17272327649069608
2024,2,Sameer Kanal,Antonio Jamal PettyJohnBlue,-0.010945148054918308
2024,2,Sameer Kanal,Uncertified Write In,-0.17594838977971403
2024,2,Nat West,Elana Pirtle-Guiney,0.006513524314895269
2024,2,Nat West,Dan Ryan,-0.10107815237976686
2024,2,Nat West,Michelle DePass,0.010958591487740588
2024,2,Nat West,Sameer Kanal,0.15924340530011893
2024,2,Nat West,Tiffani Penson,0.022246809076260643
2024,2,Nat West,Jonathan Tasini,0.11876563897642556
2024,2,Nat West,Marnie Glickman,0.17186235311761844
2024,2,Nat West,Mariah Hudson,-0.12748775858157213
2024,2,Nat West,Michael (Mike) Marshall,-0.11971408489247853
2024,2,Nat West,James Armstrong,-0.12738122854477735
2024,2,Nat West,Jennifer Park,0.11684406312636286
2024,2,Nat West,Bob Simril,-0.1351098157366583
2024,2,Nat West,Debbie Kitchin,0.030587615324123296
2024,2,Nat West,Chris Olson,0.13258127340391113
2024,2,Nat West,Nabil Zaghloul,-0.07301245431618075
2024,2,Nat West,Laura Streib,-0.06989160073128509
2024,2,Nat West,Liz Taylor,-0.13912153828493456
2024,2,Nat West,Will Mespelt,-0.1513113544471304
2024,2,Nat West,Reuben Berlin,-0.10754449392758147
2024,2,Nat West,Sam Sachs,-0.1382425576400071
2024,2,Nat West,Antonio Jamal PettyJohnBlue,-0.13564678139956649
2024,2,Nat West,Uncertified Write In,-0.16585151090542638
2024,2,Tiffani Penson,Elana Pirtle-Guiney,-0.018610174290029535
2024,2,Tiffani Penson,Dan Ryan,0.033258834120402925
2024,2,Tiffani Penson,Michelle DePass,-0.055092451039022494
2024,2,Tiffani Penson,Sameer Kanal,-0.03158536183816146
2024,2,Tiffani Penson,Nat West,0.02187102328412921
2024,2,Tiffani Penson,Jonathan Tasini,-0.10184688362689065
2024,2,Tiffani Penson,Marnie Glickman,-0.04881087629027514
2024,2,Tiffani Penson,Mariah Hudson,0.0964219752274752
2024,2,Tiffani Penson,Michael (Mike) Marshall,-0.006650080090377819
2024,2,Tiffani Penson,James Armstrong,-0.07564394787122974
2024,2,Tiffani Penson,Jennifer Park,-0.10369873547874248
2024,2,Tiffani Penson,Bob Simril,0.07319480061746947
2024,2,Tiffani Penson,Debbie Kitchin,-0.012324680966483759
2024,2,Tiffani Penson,Chris Olson,-0.12838392806245685
2024,2,Tiffani Penson,Nabil Zaghloul,0.07270143822164721
2024,2,Tiffani Penson,Laura Streib,0.035831884249897084
2024,2,Tiffani Penson,Liz Taylor,0.14864212291770829
2024,2,Tiffani Penson,Will Mespelt,-0.05937634924080526
2024,2,Tiffani Penson,Reuben Berlin,-0.05722625877370763
2024,2,Tiffani Penson,Sam Sachs,-0.021755602544108132
2024,2,Tiffani Penson,Antonio Jamal PettyJohnBlue,-0.042483166752444124
2024,2,Tiffani Penson,Uncertified Write In,-0.0927106378658693
2024,2,Jonathan Tasini,Elana Pirtle-Guiney,0.00808003786131295
2024,2,Jonathan Tasini,Dan Ryan,-0.12883976019568177
2024,2,Jonathan Tasini,Michelle DePass,0.02192664111992404
2024,2,Jonathan Tasini,Sameer Kanal,0.17913961934237455
