scope,district,outcome,predictor,x_transform,n,intercept,slope,r_squared
all_districts,,mention_share,total_spending,log1p,65,-0.5717460659765184,0.07532048802473375,0.5269419261052902
all_districts,,mention_share,expenditure_count,log1p,65,-0.3464807656212754,0.12055978741865712,0.483155509081195
all_districts,,mention_share,average_expenditure,log1p,65,-0.4636241242131658,0.11800629770203039,0.3455372548497599
all_districts,,mention_share,median_expenditure,log1p,65,0.02850808908089658,0.048976931467255076,0.0573418183246038
all_districts,,first_place_share,total_spending,log1p,65,-0.2060605182948576,0.02424632762048041,0.40672182885595587
all_districts,,first_place_share,expenditure_count,log1p,65,-0.1375508199477205,0.039645742310744955,0.3891742847478844
all_districts,,first_place_share,average_expenditure,log1p,65,-0.1650358576779124,0.03693035925841798,0.2520696815928526
all_districts,,first_place_share,median_expenditure,log1p,65,-0.007764150915494469,0.014538612222916802,0.037635982869461834
district,1.0,mention_share,total_spending,log1p,11,-0.34156086790385193,0.060933731541835276,0.8177980470929342
district,1.0,mention_share,expenditure_count,log1p,11,-0.17222989433917324,0.09501756258676523,0.7755502331213884
district,1.0,mention_share,average_expenditure,log1p,11,-0.41410837135287654,0.1273774106986367,0.6490822904052378
district,1.0,mention_share,median_expenditure,log1p,11,0.1311948857261561,0.04028200360463414,0.07013915671150213
district,1.0,first_place_share,total_spending,log1p,11,-0.15469435255116998,0.021632079879728403,0.7000187983373335
district,1.0,first_place_share,expenditure_count,log1p,11,-0.09420426764182997,0.03365475906981819,0.6608117560219142
district,1.0,first_place_share,average_expenditure,log1p,11,-0.18194141440643324,0.04549048926437956,0.5622620481082308
district,1.0,first_place_share,median_expenditure,log1p,11,-0.02495589632837876,0.024016967987467948,0.16933915870550167
district,2.0,mention_share,total_spending,log1p,19,-0.9524564494301838,0.10570116172099546,0.5015628846190674
district,2.0,mention_share,expenditure_count,log1p,19,-0.41193317951675934,0.12706421059297893,0.24328354544680883
district,2.0,mention_share,average_expenditure,log1p,19,-0.8234068268026625,0.16931407547000937,0.47373593307045636
district,2.0,mention_share,median_expenditure,log1p,19,-0.23592441761653238,0.10350928057102847,0.13481817273469482
district,2.0,first_place_share,total_spending,log1p,19,-0.21188136021001208,0.023188755923467353,0.24358982928794928
district,2.0,first_place_share,expenditure_count,log1p,19,-0.06927609063177886,0.02298681488746807,0.08034562431502391
district,2.0,first_place_share,average_expenditure,log1p,19,-0.21094250596697417,0.04161789205202773,0.2888342835082651
district,2.0,first_place_share,median_expenditure,log1p,19,-0.07151896255884749,0.026592644669369347,0.08979482314763061
district,3.0,mention_share,total_spending,log1p,16,-0.6124182175513235,0.08108260539116036,0.6474609947559459
district,3.0,mention_share,expenditure_count,log1p,16,-0.3941232409201862,0.13236986946565082,0.6772821512472507
district,3.0,mention_share,average_expenditure,log1p,16,-0.4693210712371219,0.12215818178007423,0.3420558751644735
district,3.0,mention_share,median_expenditure,log1p,16,0.2708578089323734,-0.012157862184943816,0.0022182941707722245
district,3.0,first_place_share,total_spending,log1p,16,-0.2581855573345434,0.030350074294328067,0.5487877744146128
district,3.0,first_place_share,expenditure_count,log1p,16,-0.17973623665685426,0.05024798865627386,0.5904123117878256
district,3.0,first_place_share,average_expenditure,log1p,16,-0.19870928023466963,0.04468017509379293,0.2768269438187082
district,3.0,first_place_share,median_expenditure,log1p,16,0.05402795968971328,3.0042639811043872e-05,8.194219223851217e-08
district,4.0,mention_share,total_spending,log1p,19,-0.7976038511579804,0.09472440542080994,0.5486779739591894
district,4.0,mention_share,expenditure_count,log1p,19,-0.47778656598555097,0.1479170981495015,0.40714857718487674
district,4.0,mention_share,average_expenditure,log1p,19,-0.6445620847599749,0.14332504279534672,0.4294417718438128
district,4.0,mention_share,median_expenditure,log1p,19,-0.125759003613857,0.08410169617031434,0.22125473360272535
district,4.0,first_place_share,total_spending,log1p,19,-0.23913213357292326,0.026797249801188253,0.3579406466394575
district,4.0,first_place_share,expenditure_count,log1p,19,-0.1463692075699492,0.04136219006623703,0.25951354803981974
district,4.0,first_place_share,average_expenditure,log1p,19,-0.19873145976155548,0.04102460243807822,0.28680433171573727
district,4.0,first_place_share,median_expenditure,log1p,19,-0.02629149858833637,0.018293253597278875,0.08533000867567557
