scope,district,outcome,predictor,family,measure,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
all_districts,,mention_share,total_spending,totals,other,65,0.5179159509158995,9.937802883590868e-06,0.7993881118881119,1.428098538235877e-15,0.5179159509158995,0.7993881118881119,2.3188206728378694e-05,1.999337953530228e-14
all_districts,,mention_share,expenditure_count,totals,record count,65,0.5790146435058537,4.355540753901625e-07,0.6945385420439456,1.3905743786626078e-10,0.5790146435058537,0.6945385420439456,2.156731907431016e-06,9.734020650638256e-10
all_districts,,mention_share,average_expenditure,totals,other,65,0.5779628232529712,4.621568373066462e-07,0.606555944055944,8.538563537995846e-08,0.5779628232529712,0.606555944055944,2.156731907431016e-06,2.390797790638837e-07
all_districts,,mention_share,median_expenditure,totals,other,65,0.2088398262758472,0.09501526736165247,0.36422053929061443,0.002857730044323818,0.2088398262758472,0.36422053929061443,0.1209285220966486,0.003637110965503041
all_districts,,mention_share,amount_share_micro,bin_shares,dollar share,65,-0.3819675543392812,0.0016909659454030362,-0.5268793706293706,6.521399870598974e-06,0.3819675543392812,0.5268793706293706,0.002630391470626945,1.3042799741197948e-05
all_districts,,mention_share,expenditure_share_micro,bin_shares,other,65,-0.30906759038589615,0.012241820781272162,-0.39104875552946783,0.0012780766336567397,0.30906759038589615,0.39104875552946783,0.017138549093781028,0.0017893072871194354
all_districts,,mention_share,amount_share_small,bin_shares,dollar share,65,-0.4172163655273932,0.0005450982853755925,-0.5094405594405594,1.4641184772297478e-05,0.4172163655273932,0.5094405594405594,0.0009539219994072868,2.2775176312462742e-05
all_districts,,mention_share,expenditure_share_small,bin_shares,other,65,0.07575588236599645,0.5486558422603359,0.07661713286713287,0.544106933768041,0.07575588236599645,0.07661713286713287,0.6400984826370586,0.5859613132886595
all_districts,,mention_share,amount_share_medium,bin_shares,dollar share,65,-0.4351716269195097,0.0002915272097478842,-0.513854895104895,1.1980834703737268e-05,0.4351716269195097,0.513854895104895,0.0005830544194957684,2.0966460731540222e-05
all_districts,,mention_share,expenditure_share_medium,bin_shares,other,65,0.03520348687853922,0.780706200142635,0.0805961668935217,0.5233313789408635,0.03520348687853922,0.0805961668935217,0.84076052323053,0.5859613132886595
all_districts,,mention_share,amount_share_large,bin_shares,dollar share,65,-0.5325821957369405,4.95680342646527e-06,-0.5857080419580419,2.972084531085378e-07,0.5325821957369405,0.5857080419580419,1.3879049594102756e-05,6.934863905865882e-07
all_districts,,mention_share,expenditure_share_large,bin_shares,other,65,-0.025179251020757742,0.8421890221116933,0.03896458659090328,0.7579573868216539,0.025179251020757742,0.03896458659090328,0.8421890221116933,0.7579573868216539
all_districts,,mention_share,amount_share_mega,bin_shares,dollar share,65,0.5873296042199909,2.705746750203293e-07,0.6214886169995651,3.302444634830256e-08,0.5873296042199909,0.6214886169995651,2.156731907431016e-06,1.5411408295874527e-07
