scope,district,outcome,predictor,family,measure,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
all_districts,,mention_share,total_amount,totals,dollar amount,65,0.7836770491168685,1.1871298034862563e-14,0.7836538461538461,1.1906929109062465e-14,0.7836770491168685,0.7836538461538461,1.6619817248807588e-13,1.6669700752687452e-13
all_districts,,mention_share,total_contribution_count,totals,record count,65,0.7514336213660271,5.533250785817331e-13,0.7484237567855206,7.687078060884602e-13,0.7514336213660271,0.7484237567855206,3.873275550072132e-12,5.380954642619221e-12
all_districts,,mention_share,average_contribution,totals,other,65,-0.06495837410393582,0.6071869980064702,0.04532342657342657,0.7199666635476862,0.06495837410393582,0.04532342657342657,0.7083848310075487,0.9101926314932335
all_districts,,mention_share,median_contribution,totals,other,65,-0.07461091500668096,0.5547314993738605,-0.0004710926986662189,0.997028385894593,0.07461091500668096,0.0004710926986662189,0.7060219082940042,0.997028385894593
all_districts,,mention_share,amount_share_micro,bin_shares,dollar share,65,-0.12393793648115622,0.32529722092993535,-0.021853146853146852,0.8628182910110349,0.12393793648115622,0.021853146853146852,0.6481558478740653,0.9291889287811145
all_districts,,mention_share,contribution_share_micro,bin_shares,other,65,-0.04060910272607232,0.7480732775927582,-0.10970279720279721,0.3843437464110379,0.04060910272607232,0.10970279720279721,0.8056173758691242,0.5978680499727256
all_districts,,mention_share,amount_share_small,bin_shares,dollar share,65,0.206785693992123,0.09838628430422672,0.2737325174825175,0.027355372607755158,0.206785693992123,0.2737325174825175,0.2754815960518348,0.07659504330171445
all_districts,,mention_share,contribution_share_small,bin_shares,other,65,0.1346843701321072,0.2847661527902236,0.18544783051621155,0.1391456068392275,0.1346843701321072,0.18544783051621155,0.6481558478740653,0.24350481196864812
all_districts,,mention_share,amount_share_medium,bin_shares,dollar share,65,0.09023837856459031,0.4746899084929398,0.25569399517916924,0.03980352736847024,0.09023837856459031,0.25569399517916924,0.6645658718901157,0.07960705473694048
all_districts,,mention_share,contribution_share_medium,bin_shares,other,65,-0.030023918261324792,0.8123330685964806,0.25576236479472036,0.039748714785409,0.030023918261324792,0.25576236479472036,0.8123330685964806,0.07960705473694048
all_districts,,mention_share,amount_share_large,bin_shares,dollar share,65,-0.10246474676862087,0.41667161649047063,-0.03529258074251472,0.7801651127084858,0.10246474676862087,0.03529258074251472,0.6481558478740653,0.9101926314932335
all_districts,,mention_share,contribution_share_large,bin_shares,other,65,-0.10644922415181046,0.3986859085842601,0.07076009373158465,0.5753977945173178,0.10644922415181046,0.07076009373158465,0.6481558478740653,0.8055569123242449
all_districts,,mention_share,amount_share_mega,bin_shares,dollar share,65,0.30375156502387346,0.013900317338317373,0.3453909953129404,0.004834163466866321,0.30375156502387346,0.3453909953129404,0.04865111068411081,0.016919572134032123
all_districts,,mention_share,contribution_share_mega,bin_shares,other,65,0.33916729784751903,0.005712663948108626,0.3477557152589416,0.004533046422941948,0.33916729784751903,0.3477557152589416,0.026659098424506922,0.016919572134032123
all_districts,,first_place_share,total_amount,totals,dollar amount,65,0.7491659964040933,7.091500082322748e-13,0.7475524475524475,8.447343492622462e-13,0.7491659964040933,0.7475524475524475,9.928100115251847e-12,1.1826280889671448e-11
all_districts,,first_place_share,total_contribution_count,totals,record count,65,0.6896316200871039,2.110722613315108e-10,0.6967600950136065,1.1480353335467372e-10,0.6896316200871039,0.6967600950136065,1.4775058293205758e-09,8.036247334827161e-10
all_districts,,first_place_share,average_contribution,totals,other,65,-0.007185874150093384,0.9546957781102835,0.11223776223776225,0.3733858277235996,0.007185874150093384,0.11223776223776225,0.9546957781102835,0.4752183261936722
all_districts,,first_place_share,median_contribution,totals,other,65,-0.0073932001666652605,0.9533900976680268,0.07371479084843786,0.5595089796787687,0.0073932001666652605,0.07371479084843786,0.9546957781102835,0.6025481319617508
all_districts,,first_place_share,amount_share_micro,bin_shares,dollar share,65,-0.11813637930777517,0.34862846715761886,-0.0854020979020979,0.4987795431734052,0.11813637930777517,0.0854020979020979,0.689908395395456,0.5819094670356395
all_districts,,first_place_share,contribution_share_micro,bin_shares,other,65,-0.08548064729897614,0.49838328658909165,-0.15738636363636363,0.2105373467389416,0.08548064729897614,0.15738636363636363,0.6977366012247282,0.3275025393716869
all_districts,,first_place_share,amount_share_small,bin_shares,dollar share,65,0.16763047900392683,0.18196684682806666,0.2223339160839161,0.0750618751869294,0.16763047900392683,0.2223339160839161,0.4884985500823663,0.1501237503738588
all_districts,,first_place_share,contribution_share_small,bin_shares,other,65,0.15778945364803132,0.20935652146387126,0.21145335942432983,0.09085754742835264,0.15778945364803132,0.21145335942432983,0.4884985500823663,0.15900070799961713
all_districts,,first_place_share,amount_share_medium,bin_shares,dollar share,65,0.10745177708047779,0.3942333687974034,0.3074535592571546,0.012726257774106079,0.10745177708047779,0.3074535592571546,0.689908395395456,0.029694601472914185
